carbon ,humidity
0.2,7.1
0.2,8.6
0.3,35.5
0.3,34.1
0.2,15.5
0.2,17.7
0.2,13.4
0.2,13.6
0.2,20.6
0.2,17.2
0.2,7.5
0.3,6
0.2,20
0.2,21
0.2,26.7
0.3,60.9
0.3,36.8
0.4,25
0.2,18
0.2,12.4
0.3,25.3
0.2,15.5
0.2,8.2
0.2,17.5
0.3,18
0.3,18.8
0.2,15.1
0.2,14.3
0.2,30.3
0.3,31.6
0.2,17
0.2,9.3
0.2,16.5
0.2,19
0.1,28.7
0.1,36.6
0.2,43.3
0.2,41.3
0.2,42.8
0.2,48.2
0.2,48.2
0.2,49.1
0.3,50.9
0.3,41.2
0.2,48.9
0.3,57.2
0.3,42.4
0.2,25.5
0.2,22.5
0.2,20.6
0.2,22.4
0.1,15.5
0.2,14.4
0.2,22.5
0.3,24.1
0.3,31.9
0.2,41.4
0.2,24.6
0.3,20.7
0.3,38.3
0.3,32.3
0.3,23
0.3,25.3
0.3,30.9
0.2,22.8
0.1,23.8
0.2,21.4
0.1,35.8
0.2,44.9
0.2,52
0.2,48.5
0.2,46.9
0.2,35.4
0.2,31.4
0.1,45.6
0.2,40.4
0.1,33
0.1,31.9
0.2,23.4
0.2,19.3
0.2,25
0.2,24.3
0.4,34.1
0.3,35.4
0.3,41.6
0.3,39.4
0.3,29.1
0.4,19.2
0.3,13.9
0.3,11
0.3,14.6
0.3,65.3
0.4,60.1
0.3,31.1
0.3,31.6
0.3,22.9
0.3,13.1
0.3,10.9
0.3,11
0.3,16.7
0.3,9.4
0.2,7.8
0.3,9
0.2,8.2
0.3,10.9
0.3,9.6
0.4,13.6
0.3,19.5
0.3,21.6
0.3,27.7
0.3,21.5
0.4,16
0.4,18.4
0.3,21.7
0.3,16.1
0.3,17.8
0.3,20.5
0.3,35.6
0.3,39.5
0.3,29.9
0.4,14.2
0.4,17.4
0.3,25
0.4,29.7
0.3,23.5
0.3,19.6
0.4,17.5
0.4,18.6
0.3,24.1
0.4,34
0.3,26.2
0.4,23.9
0.3,19.5
0.3,33.2
0.3,46.3
0.3,29.7
0.3,19.2
0.3,15.6
0.3,17.8
0.3,26.5
0.4,35.8
0.3,31
0.3,32.8
0.4,34.3
0.3,23.8
0.3,25.4
0.3,35.9
0.3,23.7
0.3,28.9
0.4,28.6
0.4,39.9
0.3,34.6
0.4,52.1
0.3,40.3
0.4,31.9
0.4,24
0.3,31.6
0.4,34.8
0.4,29.4
0.3,23.5
0.3,14.1
0.3,19.1
0.3,24.3
0.3,27.6
0.4,37.1
0.4,39.4
0.4,38.8
0.4,33.7
0.3,25.4
0.4,28.3
0.4,29.8
0.3,36.5
0.4,44.8
0.4,35.3
0.1,25.6
0.1,24.6
0.1,19.6
0.2,16.2
0.1,16
0.1,15.6
0.1,8.7
0,18.3
0.1,7.1
0.2,8.7
0.1,24.6
0.1,38.1
0.2,30.5
0.1,15.9
0.1,16.8
0.1,20
0.1,17.3
0.1,9.6
0.1,10.3
0.1,9.7
0.1,10
0.2,7.9
0.2,19.5
0.2,24.1
0.3,25.2
0.2,19.3
0.2,21.5
0.2,21.4
0.1,27.2
0.1,24.2
0.1,19.6
0.1,27.8
0.1,23.6
0.1,23.2
0.1,23
0.1,24.5
0.1,22.3
0.1,17.5
0.1,14.5
0.2,13.4
0.1,16.6
0,25.4
0,25.2
0.1,31.8
0.1,35.2
0.1,37.8
0.1,45
0.1,62.5
0.1,53.6
0.1,41.7
0.1,33.6
0.1,27.2
0.1,23.8
0.2,19.6
0.1,26.5
0.1,27.8
0.1,27.1
0.2,27.2
0.2,20.6
0.1,19.9
0.2,23.4
0.1,25.4
0.2,26.4
0.1,23.6
0.1,18.7
0.1,17.6
0.1,15
0.2,15
0.2,14.3
0.2,12.9
0.1,20.5
0.1,26.5
0.1,25.2
0.3,18.5
0.2,15.8
0.2,18.1
0.1,21.6
0.1,20.8
0.2,21
0.2,20
0.2,19.5
0.3,17
0.3,15.3
0.2,19
0.1,27.5
0,37.2
0.2,38.4
0.2,31.3
0.1,25.7
0.2,25.5
0.1,19
0.1,9.4
0.1,9.8
0.1,10.7
0.1,9
0.1,7.9
0.1,7.3
0.2,10.7
0.2,13.6
0.1,14.4
0.1,23.3
0.1,16.9
0.2,16.9
0.2,15
0.2,10.7
0.2,10.9
0.2,21
0.2,32.1
0.1,21.3
0.1,23.6
0.1,21.8
0.1,12.8
0.1,49
0.2,73
0.2,70.7
0.2,72.1
0.2,59.3
0.2,57.2
0.2,49.1
0.1,39.9
0.1,46.6
0.2,47.9
0.1,44.6
0.2,34.8
0.2,26.7
0.2,25.3
0.1,40.4
0.2,34.6
0.2,25.8
0.1,31.3
0.1,37.6
0.1,38.1
0.1,54
0.2,55
0.2,39.1
0.2,29.9
0.2,25.1
0.2,44.3
0.1,53.8
0.2,47.1
0.2,43.6
0.3,34.5
0.2,31.2
0.1,36
0.1,32.5
0.1,36.6
0.1,39.6
0.2,47.6
0.2,40
0.2,30.1
0.2,26.5
0.3,28.9
0.2,23.1
0.1,27.3
0.1,32.8
0.1,44.8
0.1,57.8
0.1,58.9
0.1,70
0.1,71.1
0.1,66.7
0.2,65.5
0.2,54.9
0.1,48.5
0.2,42.1
0.2,34
0.1,44
0.1,43.8
0.1,35
0.1,35.2
0.1,28.1
0.1,31.5
0.1,32.7
0.1,30.5
0.1,33.6
0.1,42.8
0.1,47.8
