carbon ,pm25
0.2,8.4
0.2,10
0.3,18.8
0.3,14.4
0.2,18.1
0.2,11.8
0.2,10.2
0.2,10.6
0.2,10.4
0.2,8.8
0.2,8.2
0.3,9.3
0.2,13.9
0.2,10.2
0.2,9.6
0.3,7
0.3,5.4
0.4,6.4
0.2,4.2
0.2,6.6
0.3,6
0.2,5
0.2,4.6
0.2,10.5
0.3,10.1
0.3,10.4
0.2,7
0.2,9.8
0.3,5.8
0.2,4.8
0.2,5.4
0.2,5.2
0.2,7.2
0.1,8.3
0.1,6.2
0.2,6.8
0.2,4.4
0.2,4.4
0.2,6.9
0.2,9
0.2,6.8
0.3,4.3
0.3,4.1
0.2,3.7
0.3,5.1
0.3,8.2
0.2,10.3
0.2,7.5
0.2,6.3
0.2,6.8
0.1,6.7
0.2,8.2
0.2,9.5
0.3,8.3
0.3,8.9
0.2,7
0.2,8.2
0.3,9.5
0.3,7.6
0.3,8.4
0.3,8.9
0.3,5.7
0.2,6.5
0.1,6.6
0.2,6.2
0.1,9.3
0.2,5.8
0.2,5.5
0.2,6.9
0.2,6.9
0.2,8.9
0.2,9.2
0.1,4.9
0.2,6.6
0.1,5.6
0.1,5.7
0.2,8.2
0.2,8.4
0.2,8.3
0.2,7.4
0.4,11.4
0.3,10.2
0.3,10.1
0.3,6
0.4,6.5
0.3,9
0.3,7.6
0.3,9
0.3,5.4
0.3,9.9
0.3,9.3
0.3,8.2
0.3,7.5
0.3,8.7
0.3,8.5
0.3,9.1
0.2,7
0.3,8.9
0.2,6.8
0.3,7.1
0.3,7.5
0.4,12.5
0.3,11.3
0.3,12.5
0.3,12.1
0.3,9.2
0.4,10.6
0.4,12.5
0.3,5.9
0.3,8.3
0.3,13.5
0.3,7.8
0.3,5.7
0.3,6.1
0.4,7.9
0.4,9.3
0.3,9.7
0.4,10.6
0.3,7.7
0.3,7.8
0.4,9.3
0.4,8.9
0.3,7.4
0.4,8.4
0.3,7.4
0.4,7.3
0.3,9.9
0.3,9.6
0.3,7.6
0.3,7.2
0.3,7.7
0.3,7.8
0.3,7.5
0.3,7.8
0.4,23.2
0.3,8.7
0.3,8.2
0.4,6.1
0.3,8.4
0.3,8
0.3,7
0.3,8.6
0.3,7.2
0.4,5.7
0.3,5.7
0.4,5.7
0.3,4.9
0.4,5.7
0.4,5.6
0.3,9.1
0.4,9
0.4,7.8
0.3,6.8
0.3,6.6
0.3,7.8
0.3,9.3
0.3,11.9
0.4,8.5
0.4,9.3
0.4,7.1
0.4,6.4
0.3,6.8
0.4,14.8
0.4,9.3
0.3,7.7
0.4,7.5
0.4,7.8
0.1,5.2
0.1,5.5
0.1,6.1
0.2,9.5
0.1,8.2
0.1,5.6
0.1,4.5
0,6.9
0.1,4.3
0.2,9
0.1,10.1
0.1,6.1
0.2,5.3
0.1,7.4
0.1,6
0.1,4
0.1,3.4
0.1,4.5
0.1,5.1
0.1,10.9
0.1,5.7
0.2,9
0.2,13
0.2,6.6
0.3,7.3
0.2,7.8
0.2,8.3
0.2,5.8
0.1,10.9
0.1,8
0.1,4.8
0.1,5.1
0.1,7.8
0.1,5.6
0.1,5.7
0.1,25.7
0.1,6.3
0.1,7.6
0.2,9.6
0.1,10.3
0,6.2
0,5.3
0.1,8.8
0.1,10.4
0.1,7.5
0.1,6.3
0.1,5.6
0.1,5
0.1,4.7
0.1,3.6
0.1,5.4
0.1,5.8
0.2,8.3
0.1,7.8
0.1,7.2
0.1,4.8
0.2,5.8
0.1,4.5
0.2,6.3
0.1,5.5
0.2,7.5
0.1,5.2
0.1,6.3
0.1,6.2
0.1,6.8
0.2,7.3
0.2,6.9
0.2,7.3
0.1,7.6
0.1,8.3
0.1,8.3
0.3,12.5
0.2,9.1
0.2,13.9
0.1,11.9
0.1,13.1
0.2,10.6
0.2,7.5
0.2,8.5
0.3,10.3
0.3,12.3
0.2,9.4
0.1,7.3
0,6.1
0.2,9.8
0.2,26.4
0.1,8.5
0.1,8
0.1,15.4
0.1,7.1
0.1,6.4
0.1,7.9
0.1,7
0.1,9.1
0.2,18.6
0.2,16.8
0.1,11.3
0.1,7.7
0.1,8.2
0.2,9.6
0.2,10
0.2,10.9
0.2,17.7
0.2,29
0.2,20.9
0.1,18.3
0.1,15
0.1,7.3
0.1,8.9
0.1,15.4
0.2,5.8
0.2,5
0.2,6.6
0.2,4.5
0.2,4
0.2,5.7
0.1,5.4
0.1,5.4
0.2,6
0.1,4.5
0.2,6.6
0.2,7.6
0.2,5.8
0.1,6.5
0.2,13.6
0.1,8.7
0.1,6.6
0.1,6.3
0.1,8.1
0.2,8.3
0.2,9.9
0.2,10.8
0.2,11.4
0.2,8.4
0.1,5.2
0.2,3.9
0.2,5.4
0.3,8.4
0.2,7.7
0.1,7.2
0.1,6.6
0.1,5.8
0.1,5.5
0.2,7.2
0.2,16.9
0.2,13
0.2,13.3
0.3,13.9
0.2,11.5
0.1,6
0.1,5.6
0.1,6.1
0.1,3.6
0.1,3.2
0.1,3.7
0.1,2.9
0.1,2.7
0.2,4.1
0.2,5.8
0.1,5.6
0.2,5.6
0.2,7
0.1,7
0.1,7
0.1,6
0.1,5.1
0.1,5.8
0.1,6.2
0.1,6.7
0.1,6.6
0.1,6.3
0.1,10.1
0.1,10.3
