carbon ,radiation
0.2,0.498
0.2,0.494
0.3,0.387
0.3,0.516
0.2,0.453
0.2,0.416
0.2,0.491
0.2,0.476
0.2,0.354
0.2,0.494
0.2,0.534
0.3,0.533
0.2,0.463
0.2,0.503
0.2,0.381
0.3,0.29
0.3,0.531
0.4,0.525
0.2,0.526
0.2,0.538
0.3,0.524
0.2,0.531
0.2,0.541
0.2,0.525
0.3,0.515
0.3,0.518
0.2,0.522
0.2,0.417
0.2,0.223
0.3,0.381
0.2,0.531
0.2,0.364
0.2,0.423
0.2,0.462
0.1,0.399
0.1,0.393
0.2,0.35
0.2,0.517
0.2,0.304
0.2,0.412
0.2,0.365
0.2,0.341
0.3,0.372
0.3,0.433
0.2,0.404
0.3,0.403
0.3,0.502
0.2,0.497
0.2,0.494
0.2,0.505
0.2,0.507
0.1,0.511
0.2,0.505
0.2,0.465
0.3,0.483
0.3,0.472
0.2,0.409
0.2,0.422
0.3,0.465
0.3,0.438
0.3,0.425
0.3,0.428
0.3,0.412
0.3,0.477
0.2,0.485
0.1,0.474
0.2,0.487
0.1,0.368
0.2,0.225
0.2,0.208
0.2,0.388
0.2,0.444
0.2,0.463
0.2,0.46
0.1,0.459
0.2,0.28
0.1,0.43
0.1,0.437
0.2,0.453
0.2,0.463
0.2,0.445
0.2,0.381
0.4,0.481
0.3,0.498
0.3,0.459
0.3,0.41
0.3,0.523
0.4,0.508
0.3,0.51
0.3,0.528
0.3,0.496
0.3,0.078
0.4,0.405
0.3,0.525
0.3,0.484
0.3,0.504
0.3,0.531
0.3,0.532
0.3,0.519
0.3,0.528
0.3,0.53
0.2,0.539
0.3,0.526
0.2,0.534
0.3,0.533
0.3,0.536
0.4,0.5
0.3,0.489
0.3,0.512
0.3,0.492
0.3,0.522
0.4,0.534
0.4,0.494
0.3,0.443
0.3,0.529
0.3,0.487
0.3,0.523
0.3,0.376
0.3,0.361
0.3,0.489
0.4,0.524
0.4,0.488
0.3,0.355
0.4,0.481
