carbon ,temp
0.2,87.9
0.2,89.2
0.3,81.9
0.3,81.5
0.2,89.1
0.2,87.9
0.2,90.1
0.2,89.8
0.2,86.1
0.2,87.3
0.2,88.8
0.3,90.9
0.2,88.6
0.2,87.1
0.2,85.2
0.3,73.4
0.3,76.6
0.4,84.3
0.2,88.9
0.2,89.2
0.3,90.4
0.2,92.6
0.2,91.7
0.2,88.4
0.3,87.8
0.3,91.4
0.2,92.2
0.2,91.4
0.2,82.4
0.3,80.4
0.2,86
0.2,88.6
0.2,89.3
0.2,89.3
0.1,86.4
0.1,82.4
0.2,79.5
0.2,80.3
0.2,79.6
0.2,78.7
0.2,78.7
0.2,78.6
0.3,78.8
0.3,81.5
0.2,80
0.3,76.6
0.3,82.2
0.2,88.3
0.2,91.5
0.2,91.9
0.2,90.4
0.1,93.3
0.2,93.6
0.2,90.1
0.3,91.1
0.3,87.1
0.2,81.3
0.2,86.5
0.3,89.4
0.3,82.7
0.3,85.9
0.3,89.3
0.3,88.8
0.3,87.4
0.2,89.4
0.1,87
0.2,88.9
0.1,84.1
0.2,78.5
0.2,75.4
0.2,75.8
0.2,76.1
0.2,81.3
0.2,85.4
0.1,80.3
0.2,82.2
0.1,86.2
0.1,86
0.2,86.1
0.2,88
0.2,87.4
0.2,87.3
0.4,81.6
0.3,81.4
0.3,76.4
0.3,74.4
0.3,77
0.4,81.3
0.3,85.7
0.3,85.6
0.3,83.1
0.3,63.8
0.4,68
0.3,81.4
0.3,84
0.3,85.6
0.3,84.4
0.3,84.2
0.3,85.3
0.3,84.2
0.3,84.9
0.2,85.1
0.3,84.6
0.2,82.6
0.3,81.5
0.3,82.9
0.4,85.9
0.3,88
0.3,89.5
0.3,87.7
0.3,87.6
0.4,87.9
0.4,87.6
0.3,87.3
0.3,88.2
0.3,88.4
0.3,88.4
0.3,81.1
0.3,80
0.3,83.9
0.4,87.1
0.4,90.7
0.3,86.6
0.4,84.4
0.3,88.1
0.3,89.9
0.4,90.7
0.4,90.5
0.3,88.8
0.4,86.7
0.3,88.6
0.4,90.5
0.3,91.3
0.3,83.7
0.3,79.6
0.3,82.8
0.3,85.9
0.3,88.4
0.3,89.4
0.3,88.4
0.4,84
0.3,86.6
0.3,86
0.4,86.6
0.3,90.5
0.3,90.5
0.3,85.8
0.3,90.7
0.3,88.3
0.4,89.1
0.4,84.9
0.3,86.1
0.4,79
0.3,83.1
0.4,86
0.4,87.8
0.3,85.8
0.4,83.7
0.4,87.5
0.3,88.5
0.3,89.1
0.3,90.4
0.3,89.7
0.3,86.7
0.4,82.7
0.4,81.3
0.4,81.9
0.4,86.5
0.3,90.3
0.4,88.7
0.4,85.6
0.3,83.7
0.4,80.5
0.4,83.7
0.1,81.2
0.1,84.7
0.1,88.8
0.2,90.6
0.1,92.2
0.1,90.8
0.1,85.6
0,81.6
0.1,73.2
0.2,80.2
0.1,83.6
0.1,80.1
0.2,81.4
0.1,84.4
0.1,84.4
0.1,85
0.1,86.9
0.1,85.6
0.1,86.2
0.1,86.8
0.1,89.4
0.2,90.5
0.2,86
0.2,84.8
0.3,85.7
0.2,87.9
0.2,85.5
0.2,83.9
0.1,84
0.1,84.3
0.1,82.8
0.1,85.1
0.1,88.4
0.1,89.2
0.1,89.4
0.1,88.3
0.1,89
0.1,92.5
0.1,94.1
0.2,95.9
0.1,95.3
0,88.9
0,87.8
0.1,85.2
0.1,83.4
0.1,82.8
0.1,81.1
0.1,75.5
0.1,78.3
0.1,84.5
0.1,84.9
0.1,87.5
0.1,90.4
0.2,93.5
0.1,88.8
0.1,86.9
0.1,85.4
0.2,86.5
0.2,89.8
0.1,90.5
0.2,88.4
0.1,87.2
0.2,87.8
0.1,89.4
0.1,92.1
0.1,92.9
0.1,94.4
0.2,94.5
0.2,94.4
0.2,94.7
0.1,88.6
0.1,84.4
0.1,84.8
0.3,87.8
0.2,90.9
0.2,90.6
0.1,89.8
0.1,89.3
0.2,87
0.2,85.1
0.2,85.9
0.3,88.1
0.3,90.9
0.2,90.5
0.1,84.4
0,83.1
0.2,74.9
0.2,77.4
0.1,77.5
0.2,77.3
0.1,83.9
0.1,88.1
0.1,86.2
0.1,85.7
0.1,87.2
0.1,90.9
0.1,91
0.2,92.1
0.2,93.1
0.1,92.1
0.1,86.9
0.1,89.2
0.2,86.7
0.2,88
0.2,90.9
0.2,92.9
0.2,89.9
0.2,85.7
0.1,89.7
0.1,88.9
0.1,89.9
0.1,88.9
0.1,75.1
0.2,67.4
0.2,68.7
0.2,71.4
0.2,76.5
0.2,77.3
0.2,80.4
0.1,84.2
0.1,81.9
0.2,80.2
0.1,80.8
0.2,83.5
0.2,86.6
0.2,88.2
0.1,84
0.2,83.4
0.2,85
0.1,84.6
0.1,83.6
0.1,83.7
0.1,78.8
0.2,78.7
0.2,82.6
0.2,82.7
0.2,83.3
0.2,78.9
0.1,76.8
0.2,79.4
0.2,80.9
0.3,84.1
0.2,84.7
0.1,81.2
0.1,82.3
0.1,83.2
0.1,82.6
0.2,79.5
0.2,81.5
0.2,83.5
0.2,84.5
0.3,85.4
0.2,87.2
0.1,86.7
0.1,85.5
0.1,81
0.1,76.6
0.1,76.3
0.1,73.1
0.1,72.5
0.1,72.7
0.2,74.3
0.2,77.1
0.1,80.3
0.2,80.7
0.2,82.8
0.1,81.6
0.1,83.2
0.1,85.4
0.1,84.7
0.1,86.6
0.1,84.7
0.1,84.8
0.1,84.9
0.1,84.2
0.1,81.5
0.1,81.2
