humidity,radiation
42.9,0.423
35.9,0.513
22.2,0.524
23,0.5
25,0.503
21.4,0.507
19.8,0.429
22.3,0.46
20.3,0.459
24.4,0.494
32.8,0.379
24.8,0.508
14.2,0.501
13.1,0.531
11.3,0.521
9.2,0.531
8.5,0.528
6.3,0.525
15.3,0.411
23.7,0.515
27.3,0.507
18.7,0.497
19.5,0.48
28.5,0.465
33.2,0.496
30.6,0.513
39.2,0.474
58.4,0.27
37.9,0.494
33.1,0.442
56.8,0.231
44,0.503
24.3,0.518
17.6,0.52
16.7,0.48
21.7,0.507
26.7,0.513
24.6,0.477
24.6,0.509
18.3,0.501
16.4,0.498
15.1,0.514
13,0.52
12,0.51
18,0.49
22.9,0.434
21.6,0.487
29,0.491
30.3,0.412
25.7,0.496
24.2,0.488
18.2,0.499
17,0.495
19.2,0.5
26.5,0.484
31.2,0.491
44.4,0.34
30.6,0.445
30.2,0.479
36.4,0.471
33.5,0.412
42.1,0.367
49.6,0.424
48.7,0.427
44.6,0.455
39.7,0.416
31,0.427
28.2,0.429
33.5,0.403
44,0.294
52.6,0.318
47.9,0.4
39.9,0.415
54,0.284
38.8,0.39
28,0.453
23.6,0.452
21.7,0.453
35.2,0.447
40.4,0.422
41.5,0.185
50.4,0.358
53.2,0.384
55,0.323
43.3,0.384
40.6,0.348
41.5,0.416
49.5,0.328
48.8,0.424
47.7,0.393
65.3,0.203
59.4,0.288
38.7,0.365
30.9,0.462
28.3,0.399
26.1,0.471
21.3,0.487
26.5,0.445
32.9,0.443
34.9,0.463
20.7,0.475
12.3,0.475
10.3,0.474
13.3,0.492
10.7,0.499
7.2,0.498
6.9,0.47
4.6,0.494
4.9,0.493
13.4,0.482
30.3,0.426
26.5,0.462
22.4,0.449
17,0.469
13.8,0.463
30.5,0.453
42.4,0.439
39.3,0.445
35.9,0.467
16.1,0.48
13.9,0.48
10.9,0.485
31.3,0.448
25.4,0.465
19.2,0.426
18.2,0.477
26.2,0.447
24.4,0.455
32,0.443
28.1,0.477
22.5,0.444
23.3,0.432
28.5,0.481
35.1,0.472
32.8,0.448
47,0.284
64,0.249
50.3,0.399
41,0.429
45.8,0.398
53.8,0.384
47.7,0.428
53.8,0.342
64.1,0.328
59.8,0.387
50.6,0.379
47.5,0.465
42.8,0.385
49.7,0.239
44.8,0.448
48.3,0.441
36.4,0.378
47.8,0.297
55.2,0.402
42.2,0.452
31.2,0.437
29.7,0.446
35.6,0.451
36.5,0.427
35.6,0.42
44.2,0.443
38.5,0.444
31.8,0.434
42.5,0.378
51.2,0.412
43.7,0.424
41.8,0.433
45.3,0.416
32.4,0.438
24.9,0.387
38.7,0.422
46.6,0.258
67.9,0.209
58.3,0.366
43.7,0.424
49.6,0.372
54.7,0.38
54.8,0.342
47.1,0.367
38.4,0.4
33.5,0.414
35.5,0.364
27.3,0.416
26,0.406
7.1,0.498
8.6,0.494
35.5,0.387
34.1,0.516
15.5,0.453
17.7,0.416
13.4,0.491
13.6,0.476
