nitrogen,ozone
7.6,40
14.8,41
18.6,39
4.8,46
4,48
5.5,53
5.1,50
8.5,44
4.2,45
5.3,44
5.8,38
12.6,32
14.2,31
10.2,37
13.5,36
13.4,46
3.9,42
5.7,43
12.6,42
11.6,37
5.4,55
5.5,51
5.1,49
0.7,46
0.3,42
2.8,28
2.9,34
4.3,36
3.7,34
1.4,43
3.9,41
3.8,42
8.5,37
3.1,43
3.1,41
3.8,43
3.4,45
2.4,42
4.9,35
5.2,33
7.1,33
7,33
6.1,40
8.7,45
2.4,43
4.1,47
7.6,47
9.5,35
6.6,33
9.2,35
11.4,41
3.7,44
7.6,40
5.5,53
4.5,37
4.1,40
4.5,42
6.6,41
6.5,41
11.2,42
5.9,48
9.7,44
8.3,48
7.3,43
13.8,43
8.6,41
7.4,39
5.9,38
6.8,39
7.7,41
1.3,44
10.9,30
7.7,52
10.6,39
6.6,38
5.1,38
6.1,34
0.9,39
7.1,41
8.6,33
10.1,31
11.8,35
6.8,41
4.9,43
2.5,41
5.5,36
4,31
4.7,29
6.3,47
6.8,50
4.5,47
11.1,47
6.9,51
4.3,59
4.9,53
2.6,47
8.5,40
4.9,39
5.4,33
9.1,30
5.5,34
17.1,33
20.5,30
13.3,39
4.9,50
3,47
5.9,49
7,41
6.3,38
9.6,42
5.9,48
2.7,52
4.9,48
6.1,48
10.1,53
10.1,42
5.2,39
7.8,37
2.7,43
5.1,49
4.2,57
4,36
4.2,36
-0.1,43
3.2,52
3,49
5.6,54
4.5,39
1.4,30
0.5,29
4.1,36
9.4,38
4.3,39
4.1,41
7.8,39
7.9,36
2.3,37
8.7,39
6.8,43
9.1,34
13.7,34
10.8,44
3.6,39
2.9,40
3.8,47
7.8,50
7,53
6.5,42
5.2,34
5.6,46
1.3,44
3.8,41
3.9,37
2.7,34
5.3,39
8.1,31
19.3,35
7.7,38
7,37
2.6,36
10.8,30
11.6,29
4.8,37
6.6,44
10.2,34
3.1,45
1.3,40
4.9,43
5.8,47
11.3,43
11.6,44
12.2,28
9.9,34
3.2,48
11.1,53
4.6,39
3.7,45
8.2,37
7.8,42
2.5,44
3.7,43
9.3,35
18,33
4.8,41
6.6,40
7.6,35
4.6,35
8.4,37
17,34
6.2,44
6.2,46
7.3,50
7.3,40
3.6,45
1.3,41
7.8,48
8.9,47
10.8,42
5.6,43
4,41
3.6,41
2.6,43
11.5,37
10.1,39
5.5,44
3.4,45
3.4,40
4.6,49
3,51
3.4,47
4.9,40
8.2,35
7.7,39
6,45
