nitrogen,temp
7.6,69.8
14.8,74.1
18.6,82.6
4.8,84
4,83.9
5.5,85.9
5.1,86.9
8.5,85.5
4.2,86.8
5.3,85.8
5.8,87
12.6,84.6
14.2,87.5
10.2,87.1
13.5,87.9
13.4,91.6
3.9,89.4
5.7,85.8
12.6,86.9
11.6,92.4
5.4,91.4
5.5,87.3
5.1,83.6
0.7,83.4
0.3,82.9
2.8,76.1
2.9,83.2
4.3,83.9
3.7,76.3
1.4,81.7
3.9,87.1
3.8,91.3
8.5,90.3
3.1,90
3.1,88.5
3.8,89.3
3.4,89.4
2.4,92.5
4.9,92.1
5.2,91.3
7.1,92.3
7,94.8
6.1,90.4
8.7,89.1
2.4,89.9
4.1,87
7.6,86.3
9.5,88.9
6.6,90.2
9.2,91.8
11.4,92.6
3.7,91.6
7.6,89.2
5.5,87.8
4.5,86.6
4.1,84.6
4.5,85
6.6,81.8
6.5,80.2
11.2,80.4
5.9,81.2
9.7,84.2
8.3,86.6
7.3,87
13.8,85.4
8.6,80.6
7.4,79.1
5.9,82.3
6.8,84.6
7.7,76.1
1.3,77.6
10.9,79.4
7.7,81.9
10.6,82.5
6.6,81.4
5.1,81.3
6.1,78.2
0.9,75.4
7.1,77
8.6,76.6
10.1,78.7
11.8,76.8
6.8,77.8
4.9,77.5
2.5,76.6
5.5,76.9
4,72.1
4.7,74.9
6.3,74.8
6.8,77.1
4.5,80
11.1,82.8
6.9,86.4
4.3,84.9
4.9,82.1
2.6,80.4
8.5,86.2
4.9,88.6
5.4,85.6
9.1,84.3
5.5,84.7
17.1,86
20.5,88.7
13.3,88.9
4.9,89.7
3,88.9
5.9,89
7,91.1
6.3,90.7
9.6,94.3
5.9,95.4
2.7,85.3
4.9,80.4
6.1,81.6
10.1,83
10.1,89.8
5.2,89.2
7.8,89.9
2.7,86.9
5.1,86.4
4.2,87.2
4,83.6
4.2,86
-0.1,87.5
3.2,87.7
3,87.1
5.6,83.4
4.5,85.4
1.4,78.8
0.5,74.8
4.1,82.3
9.4,80.9
4.3,77.1
4.1,78.9
7.8,78.2
7.9,76.2
2.3,77.6
8.7,80.7
6.8,81.6
9.1,85.1
13.7,79.7
10.8,81.1
3.6,82
2.9,77.7
3.8,80.9
7.8,82.7
7,83.9
6.5,84
5.2,84
5.6,85
1.3,83
3.8,84.5
3.9,86.9
2.7,83
5.3,79.5
8.1,82.6
19.3,84.7
7.7,82.9
7,78.4
2.6,72.3
10.8,77.1
11.6,83.2
4.8,79.4
6.6,74.9
10.2,77.1
3.1,80
1.3,81.2
4.9,81
5.8,79.8
11.3,79
11.6,79.4
12.2,87.9
9.9,89.2
3.2,81.9
11.1,81.5
4.6,89.1
3.7,87.9
8.2,90.1
7.8,89.8
2.5,86.1
3.7,87.3
9.3,88.8
18,90.9
4.8,88.6
6.6,87.1
7.6,85.2
4.6,73.4
8.4,76.6
17,84.3
6.2,88.9
6.2,89.2
7.3,90.4
7.3,92.6
3.6,91.7
1.3,88.4
7.8,87.8
8.9,91.4
10.8,92.2
5.6,91.4
4,82.4
3.6,80.4
2.6,86
11.5,88.6
10.1,89.3
5.5,89.3
3.4,86.4
3.4,82.4
4.6,79.5
3,80.3
3.4,79.6
4.9,78.7
8.2,78.7
7.7,78.6
6,78.8
8.2,81.5
2.7,80
11.3,76.6
14.3,82.2
10.3,88.3
9,91.5
9.7,91.9
5.5,90.4
5.8,93.3
11.9,93.6
4.4,90.1
3.5,91.1
4.1,87.1
4.5,81.3
5.9,86.5
6.6,89.4
6.4,87.6
3.4,82.7
5.3,85.9
6.8,89.3
5.8,88.8
5.5,87.4
1,89.4
5.3,87
9.9,88.9
3.8,84.1
6.7,78.5
3.7,75.4
5.6,75.8
11.5,81.3
10,85.4
8.3,84.6
1.8,83.3
6.3,81.2
5.1,83.3
9.3,85.4
4.2,86.2
2.7,84
3.1,82.9
1.9,77.8
1,80.3
3.3,82.2
5,86.2
6,86
9,86.1
11.1,88
14.9,87.4
11.9,87.3
5.8,63.8
9.3,68
6.8,81.4
4.3,84
4.9,85.6
4.1,84.4
4.5,84.2
8.7,85.3
8.4,84.2
7.2,84.9
4.8,85.1
5.5,84.6
3.8,82.6
6.8,81.5
12.6,82.9
13.6,85.9
7.5,88
5.1,89.5
4.3,87.7
2.2,87.6
9.2,87.9
6.6,87.6
5.3,87.3
4.9,88.2
2.7,88.4
1.5,88.4
2.6,81.1
2.6,80
5.7,83.9
13.2,87.1
12.9,90.7
3.4,86.6
9.2,84.4
4.4,88.1
4.4,89.9
10.7,90.7
9.5,90.5
6.2,88.8
6.3,86.7
5.8,88.6
4.5,83.7
4.6,79.6
7.8,82.8
8.9,85.9
10.1,88.4
4.9,89.4
3.5,88.4
3.4,84
5,86.6
3.1,86
3.5,86.6
7.3,90.5
2,90.5
0.2,85.8
5.1,90.7
3.8,88.3
4.4,89.1
2.4,84.9
2.8,86.1
2.8,79
1.3,83.1
2.6,86
4.1,87.8
4.7,85.8
6.7,83.7
3.2,87.5
1.6,88.5
6.2,89.1
5.6,90.4
6.7,89.7
3.6,86.7
6.2,82.7
8,81.3
5.6,81.9
2.4,90.3
6.2,88.7
5.3,85.6
1.4,83.7
4.4,80.5
6.1,83.7
5.4,81.2
7,84.7
8.9,88.8
16.4,90.6
8,92.2
4.3,90.8
6.1,85.6
5.1,81.6
10.1,73.2
17.3,80.2
5.1,83.6
6,80.1
9.2,81.4
5.6,84.4
6.5,84.4
7.7,85
6.1,86.9
7.8,85.6
7.5,86.2
8.6,86.8
5.7,89.4
6.8,90.5
5.8,86
4.9,84.8
10.2,85.7
8.5,87.9
7.1,85.5
4.2,83.9
3.9,84
5.4,84.3
10.1,82.8
5.9,85.1
5.5,88.4
5.2,89.2
5.1,89.4
5.7,88.3
8.9,89
8.4,92.5
11.1,94.1
11.5,95.9
10.1,95.3
9.8,95.8
5.8,88.6
3.5,88.9
4.7,87.8
6.8,85.2
6.5,83.4
7.1,82.8
8.3,81.1
7.4,75.5
6.3,78.3
6,84.5
7.2,84.9
9.1,87.5
12.5,90.4
19,93.5
3.7,88.8
4.5,86.9
5.8,85.4
8.4,86.5
10.3,89.8
8,90.5
13.4,88.4
10.7,87.2
10,87.8
7.3,89.4
9.9,92.1
8.9,92.9
8.1,94.4
12.1,94.5
9.2,94.4
9,94.7
4.4,88.6
7.9,84.4
9.7,84.8
21.2,87.8
14.3,90.9
13.9,90.6
7,89.8
6.3,89.3
10.3,87
11.3,85.1
11.6,85.9
21.9,88.1
24.3,90.9
10.5,90.5
7.8,84.4
3.9,83.1
4.5,74.9
7.5,77.4
7.8,77.5
11.9,77.3
9.8,83.9
5.3,88.1
6.7,86.2
8.8,85.7
18.3,87.2
11.2,90.9
17.4,91
13.3,92.1
8.5,93.1
7.7,92.1
4.4,86.9
6.7,89.2
10.2,86.7
15.4,88
18.2,90.9
7,92.9
4.4,89.9
5.6,85.7
6.5,89.7
7,88.9
6.8,89.9
7.5,88.9
2.9,75.1
4.1,67.4
4.3,68.7
10,71.4
7.5,76.5
10.2,77.3
10,80.4
5.5,84.2
7.1,81.9
6.9,80.2
5.9,80.8
8.2,83.5
9.7,86.6
7.3,88.2
3.2,84
9.8,79.2
