ozone,humidity
40,42.9
41,35.9
39,22.2
46,23
48,25
53,21.4
50,19.8
44,22.3
45,20.3
44,24.4
46,32.8
47,24.8
38,14.2
32,13.1
31,11.3
37,9.2
36,8.5
46,6.3
42,15.3
43,23.7
42,27.3
37,18.7
55,19.5
51,28.5
49,33.2
46,30.6
42,39.2
28,58.4
34,37.9
36,33.1
34,56.8
43,44
41,24.3
42,17.6
37,16.7
43,21.7
41,26.7
43,24.6
45,24.6
42,18.3
35,16.4
33,15.1
33,13
33,12
40,18
45,22.9
43,21.6
47,29
47,30.3
35,25.7
33,24.2
35,18.2
41,17
44,19.2
40,26.5
53,30.6
37,30.2
40,36.4
42,33.5
41,42.1
41,49.6
42,48.7
48,44.6
44,39.7
48,31
43,28.2
43,33.5
41,44
39,52.6
38,47.9
39,39.9
41,54
44,38.8
30,28
52,23.6
39,21.7
38,35.2
38,40.4
34,41.5
39,50.4
41,53.2
33,55
31,43.3
35,40.6
41,41.5
43,49.5
41,48.8
36,47.7
31,65.3
29,59.4
47,38.7
50,30.9
47,28.3
47,26.1
51,21.3
59,26.5
53,32.9
47,34.9
40,20.7
39,12.3
33,10.3
30,13.3
34,10.7
33,7.2
30,6.9
39,4.6
50,4.9
47,13.4
49,30.3
41,26.5
38,22.4
42,17
48,13.8
52,30.5
48,42.4
48,39.3
53,35.9
42,16.1
39,13.9
37,10.9
43,31.3
45,25.4
47,19.2
48,18.2
49,26.2
57,24.4
36,32
36,28.1
43,22.5
52,23.3
49,28.5
54,35.1
39,32.8
30,47
29,64
34,50.3
36,41
38,45.8
39,53.8
41,47.7
39,53.8
36,64.1
37,59.8
39,50.6
43,47.5
34,42.8
34,49.7
44,44.8
39,47.8
40,55.2
47,42.2
50,31.2
53,29.7
42,35.6
34,36.5
46,35.6
44,44.2
41,38.5
37,31.8
34,42.5
47,41.8
39,45.3
31,32.4
35,24.9
38,38.7
37,46.6
36,67.9
30,58.3
29,43.7
37,49.6
44,54.7
34,54.8
45,47.1
40,38.4
43,33.5
47,35.5
43,27.3
44,26
28,7.1
34,8.6
48,35.5
53,34.1
39,15.5
45,17.7
37,13.4
42,13.6
44,20.6
43,17.2
35,7.5
33,6
41,20
40,21
35,26.7
35,60.9
37,36.8
34,25
44,18
46,12.4
50,25.3
40,15.5
45,8.2
41,17.5
48,18
47,18.8
42,15.1
43,14.3
41,30.3
41,31.6
43,17
37,9.3
39,16.5
44,19
45,28.7
40,36.6
49,43.3
51,41.3
