ozone,temp
40,69.8
41,74.1
39,82.6
46,84
48,83.9
53,85.9
50,86.9
44,85.5
45,86.8
44,85.8
46,82
47,86.3
38,87
32,84.6
31,87.5
37,87.1
36,87.9
46,91.6
42,89.4
43,85.8
42,86.9
37,92.4
55,91.4
51,87.3
49,83.6
46,83.4
42,82.9
28,76.1
34,83.2
36,83.9
34,76.3
43,81.7
41,87.1
42,91.3
37,90.3
43,90
41,88.5
43,89.3
45,89.4
42,92.5
35,92.1
33,91.3
33,92.3
33,94.8
40,90.4
45,89.1
43,89.9
47,87
47,86.3
35,88.9
33,90.2
35,91.8
41,92.6
44,91.6
40,89.2
53,87.8
37,86.6
40,84.6
42,85
41,81.8
41,80.2
42,80.4
48,81.2
44,84.2
48,86.6
43,87
43,85.4
41,80.6
39,79.1
38,82.3
39,84.6
41,76.1
44,77.6
30,79.4
52,81.9
39,82.5
38,81.4
38,81.3
34,78.2
39,75.4
41,77
33,76.6
31,78.7
35,76.8
41,77.8
43,77.5
41,76.6
36,76.9
31,72.1
29,74.9
47,74.8
50,77.1
47,80
47,82.8
51,86.4
59,84.9
53,82.1
47,80.4
40,86.2
39,88.6
33,85.6
30,84.3
34,84.7
33,86
30,88.7
39,88.9
50,89.7
47,88.9
49,89
41,91.1
38,90.7
42,94.3
48,95.4
52,85.3
48,80.4
48,81.6
53,83
42,89.8
39,89.2
37,89.9
43,86.9
45,86.7
47,90.3
48,90.7
49,86.4
57,87.2
36,83.6
36,86
43,87.5
52,87.7
49,87.1
54,83.4
39,85.4
30,78.8
29,74.8
34,78.7
36,82.3
38,80.9
39,77.1
41,78.9
39,78.2
36,76.2
37,77.6
39,80.7
43,81.6
34,85.1
34,79.7
44,81.1
39,82
40,77.7
47,80.9
50,82.7
53,83.9
42,84
34,84
46,85
44,83
41,84.5
37,86.9
34,83
47,82.7
39,79.5
31,82.6
35,84.7
38,82.9
37,78.4
36,72.3
30,77.1
29,83.2
37,79.4
44,74.9
34,77.1
45,80
40,81.2
43,81
47,79.8
43,79
44,79.4
28,87.9
34,89.2
48,81.9
53,81.5
39,89.1
45,87.9
37,90.1
42,89.8
44,86.1
43,87.3
35,88.8
33,90.9
41,88.6
40,87.1
35,85.2
35,73.4
37,76.6
34,84.3
44,88.9
46,89.2
50,90.4
40,92.6
45,91.7
41,88.4
48,87.8
47,91.4
42,92.2
43,91.4
41,82.4
41,80.4
43,86
37,88.6
39,89.3
44,89.3
45,86.4
40,82.4
49,79.5
51,80.3
47,79.6
40,78.7
35,78.7
39,78.6
45,78.8
47,81.5
48,80
43,76.6
32,82.2
33,88.3
45,91.5
40,91.9
51,90.4
48,93.3
40,93.6
54,90.1
60,91.1
55,87.1
56,81.3
58,86.5
57,89.4
46,87.6
49,82.7
47,85.9
51,89.3
57,88.8
66,87.4
49,89.4
36,87
28,88.9
36,84.1
36,78.5
43,75.4
47,75.8
45,76.1
48,81.3
39,85.4
39,84.6
43,83.3
46,81.2
40,83.3
40,85.4
42,86.2
43,84
40,82.9
43,77.8
44,80.3
40,82.2
39,86.2
38,86
38,86.1
48,88
43,87.4
33,87.3
42,81.6
43,81.4
45,76.4
47,74.4
44,77
42,81.3
41,85.7
34,85.6
36,83.1
34,63.8
34,68
42,81.4
50,84
37,85.6
38,84.4
43,84.2
34,85.3
37,84.2
41,84.9
41,85.1
37,84.6
45,82.6
41,81.5
35,82.9
35,85.9
40,88
45,89.5
40,87.7
37,87.6
37,87.9
37,87.6
34,87.3
30,88.2
32,88.4
39,88.4
40,81.1
45,80
39,83.9
31,87.1
34,90.7
45,86.6
34,84.4
46,88.1
44,89.9
53,90.7
42,90.5
48,88.8
51,86.7
46,88.6
50,83.7
47,79.6
51,82.8
47,85.9
54,88.4
58,89.4
46,88.4
50,84
38,86.6
48,86
44,86.6
39,90.5
50,90.5
54,85.8
59,90.7
47,88.3
55,89.1
53,84.9
47,86.1
56,79
45,83.1
34,86
36,87.8
42,85.8
48,83.7
43,87.5
40,88.5
34,89.1
44,90.4
41,89.7
43,86.7
42,82.7
36,81.3
42,81.9
39,86.5
37,90.3
41,88.7
45,85.6
47,83.7
43,80.5
34,83.7
47,81.2
46,84.7
45,88.8
38,90.6
38,92.2
46,90.8
41,85.6
35,81.6
45,73.2
37,80.2
44,83.6
45,80.1
41,81.4
45,84.4
53,84.4
46,85
43,86.9
37,85.6
36,86.2
38,86.8
41,89.4
45,90.5
45,86
53,84.8
50,85.7
43,87.9
45,85.5
45,83.9
34,84
31,84.3
30,82.8
33,85.1
33,88.4
39,89.2
40,89.4
45,88.3
52,89
43,92.5
35,94.1
37,95.9
39,95.3
27,95.8
50,88.6
51,88.9
51,87.8
44,85.2
48,83.4
40,82.8
41,81.1
44,75.5
55,78.3
37,84.5
36,84.9
35,87.5
33,90.4
35,93.5
47,88.8
65,86.9
48,85.4
48,86.5
43,89.8
42,90.5
43,88.4
40,87.2
52,87.8
46,89.4
39,92.1
44,92.9
43,94.4
41,94.5
43,94.4
40,94.7
41,88.6
38,84.4
46,84.8
40,87.8
36,90.9
47,90.6
56,89.8
51,89.3
46,87
40,85.1
43,85.9
40,88.1
36,90.9
48,90.5
40,84.4
36,83.1
51,74.9
46,77.4
45,77.5
43,77.3
38,83.9
40,88.1
33,86.2
29,85.7
26,87.2
34,90.9
27,91
37,92.1
37,93.1
41,92.1
51,86.9
48,89.2
44,86.7
40,88
39,90.9
38,92.9
47,89.9
56,85.7
45,89.7
43,88.9
43,89.9
39,88.9
48,75.1
40,67.4
34,68.7
27,71.4
34,76.5
26,77.3
43,80.4
42,84.2
47,81.9
54,80.2
45,80.8
46,83.5
55,86.6
50,88.2
40,84
38,79.2
38,83.4
30,85
43,84.6
50,83.6
48,83.7
40,78.8
35,78.7
53,82.6
59,82.7
55,83.3
53,78.9
48,76.8
45,79.4
44,80.9
51,84.1
42,84.7
46,81.2
41,82.3
44,83.2
45,82.6
50,79.5
60,81.5
60,83.5
