ozone,temp,humidity,radiation,wind
40,69.8,42.9,0.423,7.3
41,74.1,35.9,0.513,5
39,82.6,22.2,0.524,4.7
46,84,23,0.5,8.8
48,83.9,25,0.503,7.3
53,85.9,21.4,0.507,7.7
50,86.9,19.8,0.429,8
44,85.5,22.3,0.46,6.4
45,86.8,20.3,0.459,7.7
44,85.8,24.4,0.494,7.9
46,82,32.8,0.379,7.4
47,86.3,24.8,0.508,6.1
38,87,14.2,0.501,8.8
32,84.6,13.1,0.531,5.6
31,87.5,11.3,0.521,6.4
37,87.1,9.2,0.531,7.2
36,87.9,8.5,0.528,6.1
46,91.6,6.3,0.525,5.6
42,89.4,15.3,0.411,7.7
43,85.8,23.7,0.515,9.9
42,86.9,27.3,0.507,5.9
37,92.4,18.7,0.497,6.1
55,91.4,19.5,0.48,7.4
51,87.3,28.5,0.465,6.9
49,83.6,33.2,0.496,7.1
46,83.4,30.6,0.513,8.6
42,82.9,39.2,0.474,9.4
28,76.1,58.4,0.27,8.3
34,83.2,37.9,0.494,7
36,83.9,33.1,0.442,7.5
34,76.3,56.8,0.231,7.2
43,81.7,44,0.503,8.1
41,87.1,24.3,0.518,7.1
42,91.3,17.6,0.52,7
37,90.3,16.7,0.48,7
43,90,21.7,0.507,9.4
41,88.5,26.7,0.513,8.8
43,89.3,24.6,0.477,6.5
45,89.4,24.6,0.509,5.6
42,92.5,18.3,0.501,6.2
35,92.1,16.4,0.498,8.1
33,91.3,15.1,0.514,7.4
33,92.3,13,0.52,6.7
33,94.8,12,0.51,7.3
40,90.4,18,0.49,7.7
45,89.1,22.9,0.434,5
43,89.9,21.6,0.487,6.7
47,87,29,0.491,8.1
47,86.3,30.3,0.412,7.3
35,88.9,25.7,0.496,5.9
33,90.2,24.2,0.488,6.5
35,91.8,18.2,0.499,5.9
41,92.6,17,0.495,5.8
44,91.6,19.2,0.5,6.2
40,89.2,26.5,0.484,7.6
53,87.8,30.6,0.445,6.2
37,86.6,30.2,0.479,8
40,84.6,36.4,0.471,6.9
42,85,33.5,0.412,5.9
41,81.8,42.1,0.367,5.9
41,80.2,49.6,0.424,5.7
42,80.4,48.7,0.427,5.7
48,81.2,44.6,0.455,7.2
