ozone,wind
40,7.3
41,5
39,4.7
46,8.8
48,7.3
53,7.7
50,8
44,6.4
45,7.7
44,7.9
46,7.4
47,6.1
38,8.8
32,5.6
31,6.4
37,7.2
36,6.1
46,5.6
42,7.7
43,9.9
42,5.9
37,6.1
55,7.4
51,6.9
49,7.1
46,8.6
42,9.4
28,8.3
34,7
36,7.5
34,7.2
43,8.1
41,7.1
42,7
37,7
43,9.4
41,8.8
43,6.5
45,5.6
42,6.2
35,8.1
33,7.4
33,6.7
33,7.3
40,7.7
45,5
43,6.7
47,8.1
47,7.3
35,5.9
33,6.5
35,5.9
41,5.8
44,6.2
40,7.6
53,6.2
37,8
40,6.9
42,5.9
41,5.9
41,5.7
42,5.7
48,7.2
44,6.3
48,5.5
43,5.6
43,5.1
41,7.4
39,5.7
38,5.6
39,7.3
41,6.7
44,7.5
30,5.5
52,7.3
39,6
38,6.4
38,6.1
34,7.2
39,8.2
41,5.5
33,5.8
31,5
35,5.7
41,7
43,5.3
41,6.3
36,8.1
31,8.1
29,7.3
47,9.1
50,5.9
47,6.2
47,4.5
51,6.7
59,8.9
53,7.2
47,7.5
40,6.6
39,8.6
33,9.4
30,7.3
34,7.7
33,4.4
30,4.2
39,7.7
50,8.4
47,9
49,8.4
41,7.8
38,6.9
42,6.6
48,9.2
52,12.8
48,7.2
48,7.2
53,5.9
42,7.6
39,8.7
37,6.3
43,9
45,6.5
47,6.6
48,7.2
49,7.9
57,8.5
36,8.1
36,6.2
43,6.5
52,5.9
49,7.6
54,6.8
39,8.2
30,8.4
29,7.7
34,6.6
36,6.2
38,5.2
39,8.2
41,7.8
39,5.2
36,4.4
37,4.7
39,4.7
43,5.7
34,6.2
34,7.3
44,5.5
39,6.7
40,7.5
47,6.9
50,6.1
53,6.5
42,5.5
34,6
46,6.3
44,10.2
41,7.1
37,7.2
34,9.2
47,6.7
39,7.8
31,6.3
35,3.7
38,7.4
37,6.4
36,4.4
30,4.3
29,4.5
37,8.6
44,6
34,5.8
45,6.6
40,6.6
43,7.6
47,6.7
43,5.8
44,5.8
28,6.7
34,6.6
48,13.1
53,7.1
39,8.5
45,8.6
37,5.9
42,7
44,8.1
43,6.8
35,8.1
33,4.4
41,9.8
40,6.6
35,7.2
35,7.7
37,6
34,4.4
44,6.3
46,7.8
50,6.4
40,6.8
45,9.5
41,11.5
48,5.9
47,6.2
42,5.4
43,7
41,9.5
41,8.7
43,7.2
37,5.4
39,4
44,7.4
45,11.2
40,9.5
49,7.1
51,8.1
47,7.7
40,7.1
35,6.6
39,5.9
45,5.8
47,4.9
48,5.3
43,5.1
32,4.6
33,4.6
45,6.4
40,5.9
51,5.1
48,4.1
40,7.2
54,8.8
60,5.7
55,6.9
56,7
58,5.5
57,4.7
46,6.3
49,8.5
47,5.3
51,5.6
57,5.5
66,4.4
49,7.8
36,7.9
28,6.3
36,7.5
36,5.6
43,5.4
47,6.4
45,5.6
48,4.3
39,5.5
39,7.2
43,7.2
46,5.4
40,6.1
40,3.9
42,8
43,7.7
40,6.7
43,7.3
44,6.7
40,4.9
39,5.6
38,7.7
38,5.2
48,6
43,4.1
33,3.5
42,6.9
43,8.7
45,9.7
47,9
44,5.9
42,4.9
41,6.5
34,8.4
36,7.8
34,10.2
34,5
42,8.2
50,9.1
37,8.7
38,9.5
43,6.4
34,5.9
37,6.3
41,7.8
41,8.9
37,9.5
45,8.5
41,6.4
35,4.2
35,6.6
40,7.4
45,7.2
40,8.2
37,7.5
37,5.8
37,6.9
34,6.4
30,8.2
32,9.1
39,9.1
40,9
45,6.3
