pm10,wind
22.4,7.3
23.8,5
37,4.7
22.1,8.8
27,7.3
26.1,7.7
33.2,8
31.9,6.4
26.1,7.7
33.8,7.9
24,7.4
21.4,6.1
30.4,8.8
25.5,5.6
26.8,6.4
25.4,7.2
24,6.1
26.9,5.6
28.6,7.7
29.4,9.9
31,5.9
44,6.1
44.9,7.4
60.1,6.9
32.9,7.1
21.9,8.6
18.7,9.4
17.5,8.3
18.8,7
36.4,7.5
16.9,7.2
16.5,8.1
16.5,7.1
18.8,7
32.9,7
37.4,9.4
41.8,8.8
22.9,6.5
33.2,5.6
20.3,6.2
22,8.1
22.4,7.4
22.9,6.7
22.2,7.3
120,7.7
48.4,5
33.8,6.7
37.8,8.1
29.2,7.3
29,5.9
23.6,6.5
23.5,5.9
26.5,5.8
86.1,6.2
82,7.6
24.2,6.2
33.4,8
18.6,6.9
22.6,5.9
33.5,5.9
24.8,5.7
19.6,5.7
19.3,7.2
29.2,6.3
27.2,5.5
26.4,5.6
33.9,5.1
19,7.4
20,5.7
16.4,5.6
22.3,7.3
18.1,6.7
20.2,7.5
26.8,5.5
24.7,7.3
25.2,6
34.7,6.4
23.3,6.1
23.6,7.2
16.8,8.2
21.5,5.5
21.6,5.8
28,5
31.3,5.7
22.1,7
21.9,5.3
17.4,6.3
20.5,8.1
16.9,8.1
17.1,7.3
20.3,9.1
22.2,5.9
18.1,6.2
22.2,4.5
26.3,6.7
29.9,8.9
28.6,7.2
22.2,7.5
28,6.6
40.4,8.6
51.1,9.4
36.2,7.3
25.6,7.7
31.5,4.4
34.2,4.2
29.4,7.7
24.9,8.4
34,9
46.7,8.4
32.5,7.8
30.4,6.9
38.5,6.6
56.1,9.2
43.8,12.8
36.4,7.2
25.7,7.2
25.6,5.9
27.2,7.6
33.3,8.7
38.1,6.3
55.4,9
26.3,6.5
33.4,6.6
49,7.2
30.7,7.9
20.6,8.5
19.1,8.1
16.1,6.2
16.9,6.5
16,5.9
34.9,7.6
25,6.8
31.3,8.2
19,8.4
20,7.7
18.1,6.6
23.7,6.2
25.2,5.2
24.4,8.2
21,7.8
25.6,5.2
24,4.4
19,4.7
20.7,4.7
16.6,5.7
26.4,6.2
24.5,7.3
32.3,5.5
29.1,6.7
16.5,7.5
18.1,6.9
23.8,6.1
26,6.5
23.7,5.5
17.5,6
27.6,6.3
22.3,10.2
20.5,7.1
25.2,7.2
24,9.2
19.3,6.7
18.2,7.8
21.6,6.3
35.1,3.7
29.6,7.4
22.5,6.4
15.7,4.4
28.7,4.3
29.7,4.5
24.6,8.6
20.2,6
22.5,5.8
20.4,6.6
19.6,6.6
24.5,7.6
28.3,6.7
31.7,5.8
32.5,5.8
34.5,6.7
36,6.6
59.7,13.1
26.9,7.1
79.2,8.5
38.9,8.6
32.8,5.9
41.4,7
50.2,8.1
24.2,6.8
28.8,8.1
32.9,4.4
47.9,9.8
36.7,6.6
37.8,7.2
19,7.7
19.4,6
26.8,4.4
21.9,6.3
29.2,7.8
27.3,6.4
26.4,6.8
26,9.5
46.2,11.5
42,5.9
43.2,6.2
30.9,5.4
45.3,7
59.2,9.5
22.6,8.7
19.6,7.2
26.4,5.4
31.3,4
35.3,7.4
35,11.2
26.7,9.5
27.7,7.1
18.9,8.1
20.6,7.7
25.1,7.1
39.7,6.6
27.4,5.9
20.1,5.8
22.2,4.9
19.4,5.3
29.5,5.1
33.6,4.6
35.7,4.6
30.1,6.4
27.5,5.9
30.8,5.1
25.6,4.1
31.4,7.2
40.3,8.8
30.3,5.7
33.2,6.9
23.1,7
24.3,5.5
32.1,4.7
29.9,6.3
31.5,8.5
28.9,5.3
29.5,5.6
33.4,5.5
22.9,4.4
21.9,7.8
24.1,7.9
26.1,6.3
50.3,7.5
22,5.6
16.6,5.4
20.1,6.4
19.2,5.6
27.2,4.3
30.2,5.5
34.7,7.2
25.1,7.2
18.6,5.4
22.7,6.1
25.1,3.9
29.8,8
27.2,7.7
24.4,6.7
19.1,7.3
17.6,6.7
22.5,4.9
19.8,5.6
20.5,7.7
22.6,5.2
30,6
33.3,4.1
27,3.5
28.4,6.9
27.3,8.7
32.2,9.7
18.9,9
32.5,5.9
28.4,4.9
33,6.5
32.1,8.4
42.8,7.8
27,10.2
16.6,5
29.9,8.2
38.5,9.1
40.4,8.7
34.7,9.5
23.9,6.4
32.2,5.9
29.7,6.3
30.5,7.8
28.1,8.9
43.2,9.5
30.1,8.5
27.2,6.4
29,4.2
42.9,6.6
38.5,7.4
30.2,7.2
30.9,8.2
24,7.5
28.9,5.8
42.8,6.9
28.3,6.4
25.4,8.2
30.9,9.1
60,9.1
29,9
19.8,6.3
22.4,4.8
27.7,4.6
34.1,5.1
38.5,8.8
35.9,3.8
22.8,6.4
24.4,5.7
31,5.6
31.5,7.7
24.8,6.2
26.6,6.2
28.6,7
27.3,9.9
21.7,9.2
27,6.5
31,6.3
31.3,6.3
28.5,6.2
38.9,6.2
112.2,8.1
30.6,7
31.2,6
24.5,6
32.3,5.3
28.1,5.5
21.6,5.7
28,5.7
27.8,5.6
28.2,6
28.6,8
27.7,6.7
19.9,7.6
19.2,7.9
19.1,7
22.8,6.9
37.7,8.8
26.5,4.5
27,5.2
22.5,7.1
23.2,6.2
25.8,5.2
32.6,6.6
34.2,7.9
23.5,5.1
34.1,5.9
24,6.8
18.6,7.7
21,7.6
67.5,6.7
35.1,5.2
26.7,6.8
18.4,5.7
21.3,5.8
17,7.1
19.8,5.2
28.2,5.3
46.6,4
39.3,8.3
25.3,7.7
20.5,8.1
35.5,11.5
22.4,8.2
35.2,4.2
50.7,11.1
23.4,8.7
20.7,7.4
37.7,6.6
24.1,7
18.1,6
16,8.3
18.1,7.5
23.7,7.9
31.4,7
16.4,7.3
23.3,8.7
81.2,8.8
27.2,9
25.6,6.4
39.7,7.8
44.2,7.5
26,10.5
29.7,11
22.7,9.4
21.3,5.9
17.7,6.4
21.7,7.6
30.3,5.6
24.3,6.9
22.4,7.4
83.4,5.6
22.7,5.5
25.9,5.5
34,5
36.6,6.3
24.7,6
19.5,7.3
20,7.7
18.2,5.7
29.5,6
35.7,7.1
21,6.9
19.2,5.5
17.7,5.7
14.9,5.2
15.8,7.1
15.9,6.8
21.4,5.3
25.1,4.7
35.4,4.4
33.8,9.6
25.5,7.4
19.7,6.4
20.6,5.2
34.4,5.4
21.8,5.8
30.5,4.6
23.9,5.8
27.2,4.9
18.8,5.2
27.3,5.2
26.1,6.1
26.8,4.7
28.3,5.3
27.2,6.3
28.7,6.6
30.5,9.5
25.1,7.6
21.9,5.4
39.1,4.2
31.5,4.9
37.2,5.5
39.1,5.8
26.4,5.8
26.7,6.4
25.2,7.3
26.8,6.1
34.4,5.1
43.1,4.4
30.2,5.2
20.6,7.8
22.7,9.6
29.4,8.4
93,7
23.9,6.8
27,6.4
34.2,7.8
49.2,11.6
26,9.1
25.1,7.4
25.2,4.9
23,6.6
25.2,5.2
72.6,6.4
