pm25,ozone
6.7,40
7.4,41
11.2,39
8,46
7.2,48
8.6,53
9.6,50
8.8,44
8.4,45
12,44
7.6,46
7.6,47
8.6,38
7.1,32
7.4,31
6.5,37
6.6,36
8.5,46
10.3,42
7.6,43
11.9,42
12.2,37
13,55
14.5,51
9.2,49
8.3,46
7.5,42
6.8,28
7.2,34
9.6,36
6.5,34
5.3,43
6.1,41
7.4,42
9.3,37
8.2,43
10.4,41
6.5,43
9.7,45
6.8,42
6.5,35
6.5,33
6.8,33
6.7,33
19.5,40
13.1,45
10.9,43
10.4,47
9.7,47
8.8,35
6.4,33
6.8,35
8.1,41
21.7,44
20.8,40
9.1,53
10.9,37
7,40
7.2,42
8.2,41
7,41
6.1,42
5.8,48
7.8,44
7.9,48
8.3,43
10.5,43
6.5,41
4.6,39
4.6,38
6.2,39
5.8,41
5.7,44
7.3,30
6.9,52
6.6,39
7.5,38
5.9,38
7.2,34
5.5,39
7,41
6.6,33
7.6,31
8.3,35
6.8,41
7.6,43
5.9,41
7.4,36
6.6,31
6.5,29
7.9,47
8.6,50
6.9,47
12.1,47
16.9,51
10.1,59
6.3,53
4.6,47
7.8,40
11.3,39
10.4,33
9.5,30
5.8,34
7.7,33
8.8,30
8.7,39
9.2,50
10.5,47
10.7,49
9,41
8,38
9.7,42
13.3,48
11.4,52
12.2,48
9.4,48
8,53
7.5,42
9.7,39
9.1,37
12.9,43
9,45
10.2,47
12.3,48
9.4,49
6,57
5.9,36
4.7,36
3.8,43
3.9,52
5.6,49
9.8,34
7.2,34
7,44
8.7,39
5.5,40
6.7,47
6.8,50
7.5,53
7.7,42
4.7,34
8.7,46
7.2,44
5.9,41
7.4,37
7.3,34
5.1,47
4.6,39
6,31
9.1,35
6.4,38
5.5,37
4.8,36
7.1,30
8,29
6.2,37
5.4,44
7.4,34
7.2,45
6.8,40
9.2,43
10.5,47
8.6,43
9.8,44
8.4,28
10,34
18.8,48
14.4,53
18.1,39
11.8,45
10.2,37
10.6,42
10.4,44
8.8,43
8.2,35
9.3,33
13.9,41
10.2,40
9.6,35
7,35
5.4,37
6.4,34
4.2,44
6.6,46
6,50
5,40
4.6,45
10.5,41
10.1,48
10.4,47
6.3,42
7,43
9.8,41
5.8,41
4.8,43
5.4,37
5.2,39
7.2,44
8.3,45
6.2,40
6.8,49
4.4,51
4.4,47
6.9,40
9,35
6.8,39
4.3,45
4.1,47
3.7,48
5.1,43
8.2,32
10.3,33
7.5,45
6.3,40
6.8,51
6.7,48
8.2,40
9.5,54
8.3,60
8.9,55
7,56
8.2,58
9.5,57
6.9,46
7.6,49
8.4,47
8.6,51
8.9,57
5.7,66
6.5,49
6.6,36
6.2,28
9.3,36
5.8,36
5.5,43
6.9,47
6.9,45
8.9,48
9.2,39
10.7,39
7.4,43
6.4,46
7.4,40
8.9,40
9.2,42
9.9,43
8.8,40
5.8,43
4.9,44
6.6,40
5.6,39
5.7,38
8.2,38
8.4,48
8.3,43
7.4,33
11.4,42
10.2,43
10.1,45
4.9,47
6,44
6.5,42
9,41
7.6,34
9,36
5.4,34
6.2,34
7.2,42
9.9,50
9.3,37
8.2,38
7.5,43
8.7,34
8.5,37
9.1,41
7,41
8.9,37
6.8,45
7.1,41
7.5,35
12.5,35
11.3,40
12.5,45
12.1,40
9.2,37
10.6,37
12.5,37
7.7,34
5.9,30
8.3,32
13.5,39
7.8,40
5.7,45
6.1,39
7.9,31
9.3,34
9.7,45
10.6,34
7.7,46
7.8,44
9.3,53
8.9,42
7.4,48
8.4,51
7.4,46
9.6,50
7.6,47
7.2,51
7.7,47
7.8,54
7.5,58
7.8,46
23.2,50
8.7,38
8.2,48
6.1,44
8.4,39
8,50
7,54
8.6,59
7.2,47
6.6,55
5.7,53
5.7,47
5.7,56
4.9,45
5.7,34
5.6,36
9.1,42
9,48
7.8,43
6.8,40
6.6,34
7.8,44
9.3,41
11.9,43
8.5,42
9.3,36
7.1,42
6.4,39
6.8,37
14.8,41
9.3,45
7.7,47
7.5,43
7.8,34
5.2,47
5.5,46
6.1,45
9.5,38
8.2,38
5.6,46
4.5,41
6.9,35
4.3,45
9,37
10.1,44
6.1,45
5.3,41
7.4,45
6,53
4,46
3.4,43
4.5,37
5.1,36
10.9,38
5.7,41
9,45
13,45
6.6,53
7.3,50
7.8,43
8.3,45
5.8,45
10.9,34
8,31
5.7,30
4.8,33
5.1,33
7.8,39
5.6,40
5.7,45
25.7,52
6.3,43
7.6,35
9.6,37
10.3,39
6.6,27
6.5,50
6.2,51
5.3,51
8.8,44
10.4,48
7.5,40
6.3,41
5.6,44
5,55
4.7,37
3.6,36
5.4,35
5.8,33
8.3,35
7.8,47
7.2,65
4.8,48
5.8,48
7.4,43
4.5,42
6.3,43
5.5,40
7.5,52
5.2,46
6.3,39
6.2,44
6.8,43
7.3,41
6.9,43
7.3,40
7.6,41
8.3,38
8.3,46
12.5,40
9.1,36
13.9,47
11.9,56
13.1,51
10.6,46
7.5,40
8.5,43
10.3,40
12.3,36
9.4,48
7.3,40
6.1,36
9.8,51
26.4,46
8.5,45
6.6,43
8,38
15.4,40
7.1,33
6.4,29
7.9,26
7,34
9.1,27
18.6,37
16.8,37
11.3,41
7.7,51
8.2,48
9.6,44
10,40
10.9,39
17.7,38
29,47
20.9,56
18.3,45
15,43
7.3,43
8.9,39
15.4,48
5.8,40
5,34
6.6,27
4.5,34
4,26
5.7,43
5.4,42
5.4,47
6,54
4.5,45
6.6,46
7.6,55
5.8,50
6.5,40
9,38
13.9,38
13.6,30
8.7,43
6.6,50
6.3,48
8.1,40
8.3,35
9.9,53
10.8,59
11.4,55
8.4,53
5.2,48
3.9,45
5.4,44
8.4,51
7.7,42
7.2,46
6.6,41
5.8,44
5.5,45
7.2,50
16.9,60
13,60
13.3,61
13.9,46
11.5,34
6,42
5.6,40
6.1,38
3.6,41
3.2,38
3.7,37
2.9,35
2.7,40
4.1,33
5.8,34
5.6,32
5.6,25
7,25
7,35
7,29
6,32
5.1,38
5.8,31
6.2,33
6.7,35
6.6,46
6.3,41
10.1,36
10.3,31
