pm25,radiation
6.7,0.423
7.4,0.513
11.2,0.524
8,0.5
7.2,0.503
8.6,0.507
9.6,0.429
8.8,0.46
8.4,0.459
12,0.494
7.6,0.379
7.6,0.508
8.6,0.501
7.1,0.531
7.4,0.521
6.5,0.531
6.6,0.528
8.5,0.525
10.3,0.411
7.6,0.515
11.9,0.507
12.2,0.497
13,0.48
14.5,0.465
9.2,0.496
8.3,0.513
7.5,0.474
6.8,0.27
7.2,0.494
9.6,0.442
6.5,0.231
5.3,0.503
6.1,0.518
7.4,0.52
9.3,0.48
8.2,0.507
10.4,0.513
6.5,0.477
9.7,0.509
6.8,0.501
6.5,0.498
6.5,0.514
6.8,0.52
6.7,0.51
19.5,0.49
13.1,0.434
10.9,0.487
10.4,0.491
9.7,0.412
8.8,0.496
6.4,0.488
6.8,0.499
8.1,0.495
21.7,0.5
20.8,0.484
9,0.491
8,0.34
9.1,0.445
10.9,0.479
7,0.471
7.2,0.412
8.2,0.367
7,0.424
6.1,0.427
5.8,0.455
7.8,0.416
7.9,0.427
8.3,0.429
10.5,0.403
6.5,0.294
4.6,0.318
4.6,0.4
6.2,0.415
5.8,0.284
5.7,0.39
7.3,0.453
6.9,0.452
6.6,0.453
7.5,0.447
5.9,0.422
7.2,0.185
5.5,0.358
7,0.384
6.6,0.323
7.6,0.384
8.3,0.348
6.8,0.416
7.6,0.328
5.9,0.424
7.4,0.393
6.6,0.203
6.5,0.288
7.9,0.365
8.6,0.462
6.9,0.399
12.1,0.471
16.9,0.487
10.1,0.445
6.3,0.443
4.6,0.463
7.8,0.475
11.3,0.475
10.4,0.474
9.5,0.492
5.8,0.499
7.7,0.498
8.8,0.47
8.7,0.494
9.2,0.493
10.5,0.482
10.7,0.426
9,0.462
8,0.449
9.7,0.469
13.3,0.463
11.4,0.453
12.2,0.439
9.4,0.445
8,0.467
7.5,0.48
9.7,0.48
9.1,0.485
12.9,0.448
9,0.465
10.2,0.426
12.3,0.477
9.4,0.447
6,0.455
5.9,0.443
4.7,0.477
3.8,0.444
3.9,0.432
5.6,0.481
9.8,0.385
7.2,0.239
7,0.448
