pm25,temp
6.7,69.8
7.4,74.1
11.2,82.6
8,84
7.2,83.9
8.6,85.9
9.6,86.9
8.8,85.5
8.4,86.8
12,85.8
7.6,82
7.6,86.3
8.6,87
7.1,84.6
7.4,87.5
6.5,87.1
6.6,87.9
8.5,91.6
10.3,89.4
7.6,85.8
11.9,86.9
12.2,92.4
13,91.4
14.5,87.3
9.2,83.6
8.3,83.4
7.5,82.9
6.8,76.1
7.2,83.2
9.6,83.9
6.5,76.3
5.3,81.7
6.1,87.1
7.4,91.3
9.3,90.3
8.2,90
10.4,88.5
6.5,89.3
9.7,89.4
6.8,92.5
6.5,92.1
6.5,91.3
6.8,92.3
6.7,94.8
19.5,90.4
13.1,89.1
10.9,89.9
10.4,87
9.7,86.3
8.8,88.9
6.4,90.2
6.8,91.8
8.1,92.6
21.7,91.6
20.8,89.2
9,86.5
8,82.7
9.1,87.8
10.9,86.6
7,84.6
7.2,85
8.2,81.8
7,80.2
6.1,80.4
5.8,81.2
7.8,84.2
7.9,86.6
8.3,87
10.5,85.4
6.5,80.6
4.6,79.1
4.6,82.3
6.2,84.6
5.8,76.1
5.7,77.6
7.3,79.4
6.9,81.9
6.6,82.5
7.5,81.4
5.9,81.3
7.2,78.2
5.5,75.4
7,77
6.6,76.6
7.6,78.7
8.3,76.8
6.8,77.8
7.6,77.5
5.9,76.6
7.4,76.9
6.6,72.1
6.5,74.9
7.9,74.8
8.6,77.1
6.9,80
12.1,82.8
16.9,86.4
10.1,84.9
6.3,82.1
4.6,80.4
7.8,86.2
11.3,88.6
10.4,85.6
9.5,84.3
5.8,84.7
7.7,86
8.8,88.7
8.7,88.9
9.2,89.7
10.5,88.9
10.7,89
9,91.1
8,90.7
9.7,94.3
13.3,95.4
11.4,85.3
12.2,80.4
9.4,81.6
8,83
7.5,89.8
9.7,89.2
9.1,89.9
12.9,86.9
9,86.7
10.2,90.3
12.3,90.7
9.4,86.4
6,87.2
5.9,83.6
4.7,86
3.8,87.5
3.9,87.7
5.6,87.1
9.8,85.1
7.2,79.7
7,81.1
4.6,80.9
5,83.9
8.7,82
5.5,77.7
6.7,80.9
6.8,82.7
