radiation,wind
0.423,7.3
0.513,5
0.524,4.7
0.5,8.8
0.503,7.3
0.507,7.7
0.429,8
0.46,6.4
0.459,7.7
0.494,7.9
0.379,7.4
0.508,6.1
0.501,8.8
0.531,5.6
0.521,6.4
0.531,7.2
0.528,6.1
0.525,5.6
0.411,7.7
0.515,9.9
0.507,5.9
0.497,6.1
0.48,7.4
0.465,6.9
0.496,7.1
0.513,8.6
0.474,9.4
0.27,8.3
0.494,7
0.442,7.5
0.231,7.2
0.503,8.1
0.518,7.1
0.52,7
0.48,7
0.507,9.4
0.513,8.8
0.477,6.5
0.509,5.6
0.501,6.2
0.498,8.1
0.514,7.4
0.52,6.7
0.51,7.3
0.49,7.7
0.434,5
0.487,6.7
0.491,8.1
0.412,7.3
0.496,5.9
0.488,6.5
0.499,5.9
0.495,5.8
0.5,6.2
0.484,7.6
0.445,6.2
0.479,8
0.471,6.9
0.412,5.9
0.367,5.9
0.424,5.7
0.427,5.7
0.455,7.2
0.416,6.3
0.427,5.5
0.429,5.6
0.403,5.1
0.294,7.4
0.318,5.7
0.4,5.6
0.415,7.3
0.284,6.7
0.39,7.5
0.453,5.5
0.452,7.3
0.453,6
0.447,6.4
0.422,6.1
0.185,7.2
0.358,8.2
0.384,5.5
0.323,5.8
0.384,5
0.348,5.7
0.416,7
0.328,5.3
0.424,6.3
0.393,8.1
0.203,8.1
0.288,7.3
0.365,9.1
0.462,5.9
0.399,6.2
0.471,4.5
0.487,6.7
0.445,8.9
0.443,7.2
0.463,7.5
0.475,6.6
0.475,8.6
0.474,9.4
0.492,7.3
0.499,7.7
0.498,4.4
0.47,4.2
0.494,7.7
0.493,8.4
0.482,9
0.426,8.4
0.462,7.8
0.449,6.9
0.469,6.6
0.463,9.2
0.453,12.8
0.439,7.2
0.445,7.2
0.467,5.9
0.48,7.6
0.48,8.7
0.485,6.3
0.448,9
0.465,6.5
0.426,6.6
0.477,7.2
0.447,7.9
0.455,8.5
0.443,8.1
0.477,6.2
0.444,6.5
0.432,5.9
0.481,7.6
0.472,6.8
0.448,8.2
0.284,8.4
