sulfur,humidity
0.5,42.9
0.6,35.9
1.2,22.2
0.9,23
0.6,25
0.7,21.4
0.8,19.8
1,22.3
0.8,20.3
0.8,24.4
0.7,32.8
0.7,24.8
0.8,14.2
0.9,13.1
1,11.3
1,9.2
0.9,8.5
0.9,6.3
0.7,15.3
0.5,23.7
0.9,27.3
1.1,18.7
0.9,19.5
0.8,28.5
0.7,33.2
0.6,30.6
0.5,39.2
0.5,58.4
0.6,37.9
0.6,33.1
0.6,56.8
0.5,44
0.3,24.3
0.4,17.6
0.6,16.7
0.4,21.7
0.6,26.7
0.5,24.6
0.5,24.6
0.7,18.3
0.8,16.4
0.7,15.1
0.6,13
0.7,12
0.7,18
0.9,22.9
0.5,21.6
0.4,29
0.5,30.3
0.7,25.7
0.6,24.2
0.8,18.2
1,17
0.9,19.2
0.4,26.5
1.1,30.6
1.4,30.2
1.4,36.4
0.7,33.5
1.1,42.1
0.6,49.6
0.7,48.7
0.8,44.6
0.9,39.7
0.9,31
0.8,28.2
1,33.5
0.9,44
0.9,52.6
0.6,47.9
0.8,39.9
0.7,54
0.6,38.8
0.8,28
0.8,23.6
0.7,21.7
0.8,35.2
0.8,40.4
0.8,41.5
0.4,50.4
0.5,53.2
0.4,55
0.5,43.3
0.5,40.6
0.5,41.5
0.4,49.5
0.4,48.8
0.5,47.7
0.4,65.3
0.4,59.4
0,38.7
0.3,30.9
0.2,28.3
0.5,26.1
0.7,21.3
0.7,26.5
0.5,32.9
0.5,34.9
0.6,20.7
0.6,12.3
0,10.3
0.1,13.3
0.1,10.7
0.3,7.2
0.4,6.9
0.1,4.6
0.2,4.9
0.6,13.4
0.5,30.3
0.5,26.5
0.6,22.4
0.6,17
0.5,13.8
0.4,30.5
0.3,42.4
0.4,39.3
0.6,35.9
0.6,16.1
0.6,13.9
0.6,10.9
0.6,31.3
0.8,25.4
0.4,19.2
0.4,18.2
0.3,26.2
0.2,24.4
0.1,32
0.2,28.1
0.2,22.5
0.3,23.3
0.4,28.5
0.4,35.1
0.4,32.8
0.3,47
0.3,64
0.4,50.3
0.6,41
0.5,45.8
0.4,53.8
0.4,47.7
0.5,53.8
0.6,64.1
0.8,59.8
0.9,50.6
0.8,47.5
0.8,42.8
0.9,49.7
0.9,44.8
0.4,48.3
0.2,55.2
0.1,42.2
0.2,31.2
0.2,29.7
0.5,35.6
1.3,36.5
1.5,35.6
1.2,44.2
1.3,38.5
1.4,31.8
1.5,42.5
1.2,51.2
1.2,43.7
1,41.8
1.1,45.3
1,32.4
1.2,24.9
0.9,38.7
1.1,46.6
1.3,67.9
1.4,58.3
1.2,43.7
1.1,49.6
1.5,54.7
1.3,54.8
1.3,47.1
0.9,38.4
1.1,33.5
1.3,35.5
1.5,27.3
1.6,26
