sulfur,ozone
0.5,40
0.6,41
1.2,39
0.9,46
0.6,48
0.7,53
0.8,50
1,44
0.8,45
0.8,44
0.7,46
0.7,47
0.8,38
0.9,32
1,31
1,37
0.9,36
0.9,46
0.7,42
0.5,43
0.9,42
1.1,37
0.9,55
0.8,51
0.7,49
0.6,46
0.5,42
0.5,28
0.6,34
0.6,36
0.6,34
0.5,43
0.3,41
0.4,42
0.6,37
0.4,43
0.6,41
0.5,43
0.5,45
0.7,42
0.8,35
0.7,33
0.6,33
0.7,33
0.7,40
0.9,45
0.5,43
0.4,47
0.5,47
0.7,35
0.6,33
0.8,35
1,41
0.9,44
0.4,40
1.1,53
1.4,37
1.4,40
0.7,42
1.1,41
0.6,41
0.7,42
0.8,48
0.9,44
0.9,48
0.8,43
1,43
0.9,41
0.9,39
0.6,38
0.8,39
0.7,41
0.6,44
0.8,30
0.8,52
0.7,39
0.8,38
0.8,38
0.8,34
0.4,39
0.5,41
0.4,33
0.5,31
0.5,35
0.5,41
0.4,43
0.4,41
0.5,36
0.4,31
0.4,29
0,47
0.3,50
0.2,47
0.5,47
0.7,51
0.7,59
0.5,53
0.5,47
0.6,40
0.6,39
0,33
0.1,30
0.1,34
0.3,33
0.4,30
0.1,39
0.2,50
0.6,47
0.5,49
0.5,41
0.6,38
0.6,42
0.5,48
0.4,52
0.3,48
0.4,48
0.6,53
0.6,42
0.6,39
0.6,37
0.6,43
0.8,45
0.4,47
0.4,48
0.3,49
0.2,57
0.1,36
0.2,36
0.2,43
0.3,52
0.4,49
0.4,54
0.4,39
0.3,30
0.3,29
0.4,34
0.6,36
0.5,38
0.4,39
0.4,41
0.5,39
0.6,36
0.8,37
0.9,39
0.8,43
0.8,34
0.9,34
0.9,44
0.2,40
0.1,47
0.2,50
0.2,53
0.5,42
1.3,34
1.5,46
1.2,44
1.3,41
1.4,37
1.5,34
1,47
1.1,39
1,31
1.2,35
0.9,38
1.1,37
1.3,36
1.4,30
1.2,29
1.1,37
1.5,44
1.3,34
1.3,45
0.9,40
1.1,43
1.3,47
1.5,43
1.6,44
