sulfur,pm10
0.5,22.4
0.6,23.8
1.2,37
0.9,22.1
0.6,27
0.7,26.1
0.8,33.2
1,31.9
0.8,26.1
0.8,33.8
0.7,24
0.7,21.4
0.8,30.4
0.9,25.5
1,26.8
1,25.4
0.9,24
0.9,26.9
0.7,28.6
0.5,29.4
0.9,31
1.1,44
0.9,44.9
0.8,60.1
0.7,32.9
0.6,21.9
0.5,18.7
0.5,17.5
0.6,18.8
0.6,36.4
0.6,16.9
0.5,16.5
0.3,16.5
0.4,18.8
0.6,32.9
0.4,37.4
0.6,41.8
0.5,22.9
0.5,33.2
0.7,20.3
0.8,22
0.7,22.4
0.6,22.9
0.7,22.2
0.7,120
0.9,48.4
0.5,33.8
0.4,37.8
0.5,29.2
0.7,29
0.6,23.6
0.8,23.5
1,26.5
0.9,86.1
0.4,82
1.1,24.2
1.4,33.4
1.4,18.6
0.7,22.6
1.1,33.5
0.6,24.8
0.7,19.6
0.8,19.3
0.9,29.2
0.9,27.2
0.8,26.4
1,33.9
0.9,19
0.9,20
0.6,16.4
0.8,22.3
0.7,18.1
0.6,20.2
0.8,26.8
0.8,24.7
0.7,25.2
0.8,34.7
0.8,23.3
0.8,23.6
0.4,16.8
0.5,21.5
0.4,21.6
0.5,28
0.5,31.3
0.5,22.1
0.4,21.9
0.4,17.4
0.5,20.5
0.4,16.9
0.4,17.1
0,20.3
0.3,22.2
0.2,18.1
0.5,22.2
0.7,26.3
0.7,29.9
0.5,28.6
0.5,22.2
0.6,28
0.6,40.4
0,51.1
0.1,36.2
0.1,25.6
0.3,31.5
0.4,34.2
0.1,29.4
0.2,24.9
0.6,34
0.5,46.7
0.5,32.5
0.6,30.4
0.6,38.5
0.5,56.1
0.4,43.8
0.3,36.4
0.4,25.7
0.6,25.6
0.6,27.2
0.6,33.3
0.6,38.1
0.6,55.4
0.8,26.3
0.4,33.4
0.4,49
0.3,30.7
0.2,20.6
0.1,19.1
0.2,16.1
0.2,16.9
0.3,16
0.4,34.9
0.4,25
0.4,31.3
0.3,19
0.3,20
0.4,18.1
0.6,23.7
0.5,25.2
0.4,24.4
0.4,21
0.5,25.6
0.6,24
0.8,19
0.9,20.7
0.8,16.6
0.8,26.4
0.9,24.5
0.9,32.3
0.4,17.5
0.2,16.5
0.1,18.1
0.2,23.8
0.2,26
0.5,23.7
1.3,17.5
1.5,27.6
1.2,22.3
1.3,20.5
1.4,25.2
1.5,24
1.2,16.6
1.2,16.6
1,19.3
1.1,18.2
1,21.6
1.2,35.1
0.9,29.6
1.1,22.5
1.3,15.7
1.4,28.7
1.2,29.7
1.1,24.6
1.5,20.2
1.3,22.5
1.3,20.4
0.9,19.6
1.1,24.5
1.3,28.3
1.5,31.7
1.6,32.5
