sulfur,temp
0.5,69.8
0.6,74.1
1.2,82.6
0.9,84
0.6,83.9
0.7,85.9
0.8,86.9
1,85.5
0.8,86.8
0.8,85.8
0.7,82
0.7,86.3
0.8,87
0.9,84.6
1,87.5
1,87.1
0.9,87.9
0.9,91.6
0.7,89.4
0.5,85.8
0.9,86.9
1.1,92.4
0.9,91.4
0.8,87.3
0.7,83.6
0.6,83.4
0.5,82.9
0.5,76.1
0.6,83.2
0.6,83.9
0.6,76.3
0.5,81.7
0.3,87.1
0.4,91.3
0.6,90.3
0.4,90
0.6,88.5
0.5,89.3
0.5,89.4
0.7,92.5
0.8,92.1
0.7,91.3
0.6,92.3
0.7,94.8
0.7,90.4
0.9,89.1
0.5,89.9
0.4,87
0.5,86.3
0.7,88.9
0.6,90.2
0.8,91.8
1,92.6
0.9,91.6
0.4,89.2
1.1,87.8
1.4,86.6
1.4,84.6
0.7,85
1.1,81.8
0.6,80.2
0.7,80.4
0.8,81.2
0.9,84.2
0.9,86.6
0.8,87
1,85.4
0.9,80.6
0.9,79.1
0.6,82.3
0.8,84.6
0.7,76.1
0.6,77.6
0.8,79.4
0.8,81.9
0.7,82.5
0.8,81.4
0.8,81.3
0.8,78.2
0.4,75.4
0.5,77
0.4,76.6
0.5,78.7
0.5,76.8
0.5,77.8
0.4,77.5
0.4,76.6
0.5,76.9
0.4,72.1
0.4,74.9
0,74.8
0.3,77.1
0.2,80
0.5,82.8
0.7,86.4
0.7,84.9
0.5,82.1
0.5,80.4
0.6,86.2
0.6,88.6
0,85.6
0.1,84.3
0.1,84.7
0.3,86
0.4,88.7
0.1,88.9
0.2,89.7
0.6,88.9
0.5,89
0.5,91.1
0.6,90.7
0.6,94.3
0.5,95.4
0.4,85.3
0.3,80.4
0.4,81.6
0.6,83
0.6,89.8
0.6,89.2
0.6,89.9
0.6,86.9
0.8,86.7
0.4,90.3
0.4,90.7
0.3,86.4
0.2,87.2
0.1,83.6
0.2,86
0.2,87.5
0.3,87.7
0.4,87.1
0.4,83.4
0.4,85.4
0.3,78.8
0.3,74.8
0.4,78.7
0.6,82.3
0.5,80.9
0.4,77.1
0.4,78.9
0.5,78.2
0.6,76.2
0.8,77.6
0.9,80.7
0.8,81.6
0.8,85.1
0.9,79.7
0.9,81.1
0.4,80.9
0.2,77.7
0.1,80.9
0.2,82.7
0.2,83.9
0.5,84
1.3,84
1.5,85
1.2,83
1.3,84.5
1.4,86.9
1.5,83
1.2,79.4
1.2,82.2
1,82.7
1.1,79.5
1,82.6
1.2,84.7
0.9,82.9
1.1,78.4
1.3,72.3
1.4,77.1
1.2,83.2
1.1,79.4
1.5,74.9
1.3,77.1
1.3,80
0.9,81.2
1.1,81
1.3,79.8
1.5,79
1.6,79.4
