temp,humidity
69.8,42.9
74.1,35.9
82.6,22.2
84,23
83.9,25
85.9,21.4
86.9,19.8
85.5,22.3
86.8,20.3
85.8,24.4
82,32.8
86.3,24.8
87,14.2
84.6,13.1
87.5,11.3
87.1,9.2
87.9,8.5
91.6,6.3
89.4,15.3
85.8,23.7
86.9,27.3
92.4,18.7
91.4,19.5
87.3,28.5
83.6,33.2
83.4,30.6
82.9,39.2
76.1,58.4
83.2,37.9
83.9,33.1
76.3,56.8
81.7,44
87.1,24.3
91.3,17.6
90.3,16.7
90,21.7
88.5,26.7
89.3,24.6
89.4,24.6
92.5,18.3
92.1,16.4
91.3,15.1
92.3,13
94.8,12
90.4,18
89.1,22.9
89.9,21.6
87,29
86.3,30.3
88.9,25.7
90.2,24.2
91.8,18.2
92.6,17
91.6,19.2
89.2,26.5
87.8,30.6
86.6,30.2
84.6,36.4
85,33.5
81.8,42.1
80.2,49.6
80.4,48.7
81.2,44.6
84.2,39.7
86.6,31
87,28.2
85.4,33.5
80.6,44
79.1,52.6
82.3,47.9
84.6,39.9
76.1,54
77.6,38.8
79.4,28
81.9,23.6
82.5,21.7
81.4,35.2
81.3,40.4
78.2,41.5
75.4,50.4
77,53.2
76.6,55
78.7,43.3
76.8,40.6
77.8,41.5
77.5,49.5
76.6,48.8
76.9,47.7
72.1,65.3
74.9,59.4
74.8,38.7
77.1,30.9
80,28.3
82.8,26.1
86.4,21.3
84.9,26.5
82.1,32.9
80.4,34.9
86.2,20.7
88.6,12.3
85.6,10.3
84.3,13.3
84.7,10.7
86,7.2
88.7,6.9
88.9,4.6
89.7,4.9
88.9,13.4
89,30.3
91.1,26.5
90.7,22.4
94.3,17
95.4,13.8
85.3,30.5
80.4,42.4
81.6,39.3
83,35.9
89.8,16.1
89.2,13.9
89.9,10.9
86.9,31.3
86.7,25.4
90.3,19.2
90.7,18.2
86.4,26.2
87.2,24.4
83.6,32
86,28.1
87.5,22.5
87.7,23.3
87.1,28.5
83.4,35.1
85.4,32.8
78.8,47
74.8,64
78.7,50.3
82.3,41
80.9,45.8
77.1,53.8
78.9,47.7
78.2,53.8
76.2,64.1
77.6,59.8
80.7,50.6
81.6,47.5
85.1,42.8
79.7,49.7
81.1,44.8
82,47.8
77.7,55.2
80.9,42.2
82.7,31.2
83.9,29.7
84,35.6
84,36.5
85,35.6
83,44.2
84.5,38.5
86.9,31.8
83,42.5
82.7,41.8
79.5,45.3
82.6,32.4
84.7,24.9
82.9,38.7
78.4,46.6
72.3,67.9
77.1,58.3
83.2,43.7
79.4,49.6
74.9,54.7
77.1,54.8
80,47.1
81.2,38.4
81,33.5
79.8,35.5
79,27.3
79.4,26
87.9,7.1
89.2,8.6
81.9,35.5
81.5,34.1
89.1,15.5
87.9,17.7
90.1,13.4
89.8,13.6
86.1,20.6
87.3,17.2
88.8,7.5
90.9,6
88.6,20
87.1,21
85.2,26.7
73.4,60.9
76.6,36.8
84.3,25
88.9,18
89.2,12.4
90.4,25.3
92.6,15.5
91.7,8.2
88.4,17.5
87.8,18
91.4,18.8
92.2,15.1
91.4,14.3
82.4,30.3
80.4,31.6
86,17
88.6,9.3
89.3,16.5
89.3,19
86.4,28.7
82.4,36.6
79.5,43.3
80.3,41.3
79.6,42.8
78.7,48.2
78.7,48.2
78.6,49.1
78.8,50.9
81.5,41.2
80,48.9
76.6,57.2
82.2,42.4
88.3,25.5
91.5,22.5
91.9,20.6
90.4,22.4
93.3,15.5
93.6,14.4
90.1,22.5
91.1,24.1
87.1,31.9
81.3,41.4
86.5,24.6
89.4,20.7
87.6,28.5
82.7,38.3
85.9,32.3
89.3,23
88.8,25.3
87.4,30.9
89.4,22.8
87,23.8
88.9,21.4
84.1,35.8
78.5,44.9
75.4,52
75.8,48.5
76.1,46.9
81.3,35.4
85.4,31.4
84.6,34
83.3,39.9
81.2,47.5
83.3,43
85.4,37.1
86.2,33.9
84,37.2
82.9,37
77.8,52.8
80.3,45.6
82.2,40.4
86.2,33
86,31.9
86.1,23.4
88,19.3
87.4,25
87.3,24.3
81.6,34.1
81.4,35.4
76.4,41.6
74.4,39.4
77,29.1
81.3,19.2
85.7,13.9
85.6,11
83.1,14.6
63.8,65.3
68,60.1
81.4,31.1
84,31.6
85.6,22.9
84.4,13.1
84.2,10.9
85.3,11
84.2,16.7
84.9,9.4
85.1,7.8
84.6,9
82.6,8.2
81.5,10.9
82.9,9.6
85.9,13.6
88,19.5
89.5,21.6
87.7,27.7
87.6,21.5
87.9,16
87.6,18.4
87.3,21.7
88.2,16.1
88.4,17.8
88.4,20.5
81.1,35.6
80,39.5
83.9,29.9
87.1,14.2
90.7,17.4
86.6,25
84.4,29.7
88.1,23.5
89.9,19.6
90.7,17.5
90.5,18.6
88.8,24.1
86.7,34
88.6,26.2
83.7,33.2
79.6,46.3
82.8,29.7
85.9,19.2
88.4,15.6
89.4,17.8
88.4,26.5
84,35.8
86.6,31
86,32.8
86.6,34.3
90.5,23.8
90.5,25.4
85.8,35.9
90.7,23.7
88.3,28.9
89.1,28.6
84.9,39.9
86.1,34.6
79,52.1
83.1,40.3
86,31.9
87.8,24
85.8,31.6
83.7,34.8
87.5,29.4
88.5,23.5
89.1,14.1
90.4,19.1
89.7,24.3
86.7,27.6
82.7,37.1
81.3,39.4
81.9,38.8
86.5,33.7
90.3,25.4
88.7,28.3
85.6,29.8
83.7,36.5
80.5,44.8
83.7,35.3
81.2,25.6
84.7,24.6
88.8,19.6
90.6,16.2
92.2,16
90.8,15.6
85.6,8.7
81.6,18.3
73.2,7.1
80.2,8.7
83.6,24.6
80.1,38.1
81.4,30.5
84.4,15.9
84.4,16.8
85,20
86.9,17.3
85.6,9.6
86.2,10.3
86.8,9.7
89.4,10
90.5,7.9
86,19.5
84.8,24.1
85.7,25.2
87.9,19.3
85.5,21.5
83.9,21.4
84,27.2
84.3,24.2
82.8,19.6
85.1,27.8
88.4,23.6
89.2,23.2
89.4,23
88.3,24.5
89,22.3
92.5,17.5
94.1,14.5
95.9,13.4
95.3,16.6
95.8,10.7
88.6,24.1
88.9,25.4
87.8,25.2
85.2,31.8
83.4,35.2
82.8,37.8
81.1,45
75.5,62.5
78.3,53.6
84.5,41.7
84.9,33.6
87.5,27.2
90.4,23.8
93.5,19.6
88.8,26.5
86.9,27.8
85.4,27.1
86.5,27.2
89.8,20.6
90.5,19.9
88.4,23.4
87.2,25.4
87.8,26.4
89.4,23.6
92.1,18.7
92.9,17.6
94.4,15
94.5,15
94.4,14.3
94.7,12.9
88.6,20.5
84.4,26.5
84.8,25.2
87.8,18.5
90.9,15.8
90.6,18.1
89.8,21.6
89.3,20.8
87,21
85.1,20
85.9,19.5
88.1,17
90.9,15.3
90.5,19
84.4,27.5
83.1,37.2
74.9,38.4
77.4,31.3
77.5,25.7
77.3,25.5
83.9,19
88.1,9.4
86.2,9.8
85.7,10.7
87.2,9
90.9,7.9
91,7.3
92.1,10.7
93.1,13.6
92.1,14.4
86.9,23.3
89.2,16.9
86.7,16.9
88,15
90.9,10.7
92.9,10.9
89.9,21
85.7,32.1
89.7,21.3
88.9,23.6
89.9,21.8
88.9,12.8
75.1,49
67.4,73
68.7,70.7
71.4,72.1
76.5,59.3
77.3,57.2
80.4,49.1
84.2,39.9
81.9,46.6
80.2,47.9
80.8,44.6
83.5,34.8
86.6,26.7
88.2,25.3
84,40.4
79.2,47
83.4,34.6
85,25.8
84.6,31.3
83.6,37.6
83.7,38.1
78.8,54
78.7,55
82.6,39.1
82.7,29.9
83.3,25.1
78.9,44.3
76.8,53.8
79.4,47.1
80.9,43.6
84.1,34.5
84.7,31.2
81.2,36
82.3,32.5
83.2,36.6
82.6,39.6
79.5,47.6
81.5,40
83.5,30.1
84.5,26.5
85.4,28.9
87.2,23.1
86.7,27.3
85.5,32.8
81,44.8
76.6,57.8
76.3,58.9
73.1,70
72.5,71.1
72.7,66.7
74.3,65.5
77.1,54.9
80.3,48.5
80.7,42.1
82.8,34
81.6,44
83.2,43.8
85.4,35
84.7,35.2
86.6,28.1
84.7,31.5
84.8,32.7
84.9,30.5
84.2,33.6
81.5,42.8
81.2,47.8
