humidity,wind
42.9,7.3
35.9,5
22.2,4.7
23,8.8
25,7.3
21.4,7.7
19.8,8
22.3,6.4
20.3,7.7
24.4,7.9
32.8,7.4
24.8,6.1
14.2,8.8
13.1,5.6
11.3,6.4
9.2,7.2
8.5,6.1
6.3,5.6
15.3,7.7
23.7,9.9
27.3,5.9
18.7,6.1
19.5,7.4
28.5,6.9
33.2,7.1
30.6,8.6
39.2,9.4
58.4,8.3
37.9,7
33.1,7.5
56.8,7.2
44,8.1
24.3,7.1
17.6,7
16.7,7
21.7,9.4
26.7,8.8
24.6,6.5
24.6,5.6
18.3,6.2
16.4,8.1
15.1,7.4
13,6.7
12,7.3
18,7.7
22.9,5
21.6,6.7
29,8.1
30.3,7.3
25.7,5.9
24.2,6.5
18.2,5.9
17,5.8
19.2,6.2
26.5,7.6
31.2,8.8
44.4,6
30.6,6.2
30.2,8
36.4,6.9
33.5,5.9
42.1,5.9
49.6,5.7
48.7,5.7
44.6,7.2
39.7,6.3
31,5.5
28.2,5.6
33.5,5.1
44,7.4
52.6,5.7
47.9,5.6
39.9,7.3
54,6.7
38.8,7.5
28,5.5
23.6,7.3
21.7,6
35.2,6.4
40.4,6.1
41.5,7.2
50.4,8.2
53.2,5.5
55,5.8
43.3,5
40.6,5.7
41.5,7
49.5,5.3
48.8,6.3
47.7,8.1
65.3,8.1
59.4,7.3
38.7,9.1
30.9,5.9
28.3,6.2
26.1,4.5
21.3,6.7
26.5,8.9
32.9,7.2
34.9,7.5
20.7,6.6
12.3,8.6
10.3,9.4
13.3,7.3
10.7,7.7
7.2,4.4
6.9,4.2
4.6,7.7
4.9,8.4
13.4,9
30.3,8.4
26.5,7.8
22.4,6.9
17,6.6
13.8,9.2
30.5,12.8
42.4,7.2
39.3,7.2
35.9,5.9
16.1,7.6
13.9,8.7
10.9,6.3
31.3,9
25.4,6.5
19.2,6.6
18.2,7.2
26.2,7.9
24.4,8.5
32,8.1
28.1,6.2
22.5,6.5
23.3,5.9
28.5,7.6
35.1,6.8
32.8,8.2
47,8.4
64,7.7
50.3,6.6
41,6.2
45.8,5.2
53.8,8.2
47.7,7.8
53.8,5.2
64.1,4.4
59.8,4.7
50.6,4.7
47.5,5.7
42.8,6.2
49.7,7.3
44.8,5.5
48.3,6
36.4,6.3
47.8,6.7
55.2,7.5
42.2,6.9
31.2,6.1
29.7,6.5
35.6,5.5
36.5,6
35.6,6.3
44.2,10.2
38.5,7.1
31.8,7.2
42.5,9.2
51.2,6
43.7,7.1
41.8,6.7
45.3,7.8
32.4,6.3
24.9,3.7
38.7,7.4
46.6,6.4
67.9,4.4
58.3,4.3
43.7,4.5
49.6,8.6
54.7,6
54.8,5.8
47.1,6.6
38.4,6.6
33.5,7.6
35.5,6.7
27.3,5.8
26,5.8
7.1,6.7
8.6,6.6
35.5,13.1
34.1,7.1
15.5,8.5
17.7,8.6
13.4,5.9
13.6,7
20.6,8.1
17.2,6.8
7.5,8.1
6,4.4
20,9.8
21,6.6
26.7,7.2
60.9,7.7
36.8,6
25,4.4
18,6.3
12.4,7.8
25.3,6.4
15.5,6.8
8.2,9.5
17.5,11.5
18,5.9
18.8,6.2
15.1,5.4
14.3,7
30.3,9.5
31.6,8.7
17,7.2
9.3,5.4
16.5,4
19,7.4
28.7,11.2
36.6,9.5
43.3,7.1
41.3,8.1
42.8,7.7
48.2,7.1
48.2,6.6
49.1,5.9
50.9,5.8
41.2,4.9
48.9,5.3
57.2,5.1
42.4,4.6
25.5,4.6
22.5,6.4
20.6,5.9
22.4,5.1
15.5,4.1
14.4,7.2
22.5,8.8
24.1,5.7
31.9,6.9
41.4,7
24.6,5.5
20.7,4.7
28.5,6.3
38.3,8.5
32.3,5.3
23,5.6
25.3,5.5
30.9,4.4
22.8,7.8
23.8,7.9
21.4,6.3
35.8,7.5
44.9,5.6
52,5.4
48.5,6.4
46.9,5.6
35.4,4.3
31.4,5.5
34,7.2
39.9,7.2
47.5,5.4
43,6.1
37.1,3.9
33.9,8
37.2,7.7
37,6.7
52.8,7.3
45.6,6.7
40.4,4.9
33,5.6
31.9,7.7
23.4,5.2
19.3,6
25,4.1
24.3,3.5
34.1,6.9
35.4,8.7
41.6,9.7
39.4,9
29.1,5.9
19.2,4.9
13.9,6.5
11,8.4
14.6,7.8
65.3,10.2
60.1,5
31.1,8.2
31.6,9.1
22.9,8.7
13.1,9.5
10.9,6.4
11,5.9
16.7,6.3
9.4,7.8
7.8,8.9
9,9.5
8.2,8.5
10.9,6.4
9.6,4.2
13.6,6.6
19.5,7.4
21.6,7.2
27.7,8.2
21.5,7.5
16,5.8
18.4,6.9
21.7,6.4
16.1,8.2
17.8,9.1
20.5,9.1
35.6,9
39.5,6.3
29.9,4.8
14.2,4.6
17.4,5.1
25,8.8
29.7,3.8
23.5,6.4
19.6,5.7
17.5,5.6
18.6,7.7
24.1,6.2
34,6.2
26.2,7
23.9,6.5
19.5,7.3
33.2,9.9
46.3,9.2
29.7,6.5
19.2,6.3
15.6,6.3
17.8,6.2
26.5,6.2
35.8,8.1
31,7
32.8,6
34.3,6
23.8,5.3
25.4,5.5
35.9,5.7
23.7,5.7
28.9,5.6
28.6,6
39.9,8
34.6,6.7
52.1,7.6
40.3,7.9
31.9,7
24,6.9
31.6,8.8
34.8,4.5
29.4,5.2
23.5,7.1
14.1,6.2
19.1,5.2
24.3,6.6
27.6,7.9
37.1,5.1
39.4,5.9
38.8,6.8
33.7,7.7
25.4,7.6
28.3,6.7
29.8,5.2
36.5,6.8
44.8,5.7
35.3,5.8
25.6,7.1
24.6,5.2
19.6,5.3
16.2,4
16,8.3
15.6,7.7
8.7,8.1
18.3,11.5
7.1,8.2
8.7,4.2
24.6,11.1
38.1,8.7
30.5,7.4
15.9,6.6
16.8,7
20,6
17.3,8.3
9.6,7.5
10.3,7.9
9.7,7
10,7.3
7.9,8.7
19.5,8.8
24.1,9
25.2,6.4
19.3,7.8
21.5,7.5
21.4,10.5
27.2,11
24.2,9.4
19.6,5.9
27.8,6.4
23.6,7.6
23.2,5.6
23,6.9
24.5,7.4
22.3,5.6
17.5,5.5
14.5,5.5
13.4,5
16.6,6.3
10.7,6
13,7.5
22.4,8.5
27.3,8.4
25.1,7.5
24.1,7.3
25.4,7.7
25.2,5.7
31.8,6
35.2,7.1
37.8,6.9
45,5.5
62.5,5.7
53.6,5.2
41.7,7.1
33.6,6.8
27.2,5.3
23.8,4.7
19.6,4.4
26.5,9.6
27.8,7.4
27.1,6.4
27.2,5.2
20.6,5.4
19.9,5.8
23.4,4.6
25.4,5.8
26.4,4.9
23.6,5.2
18.7,5.2
17.6,6.1
15,4.7
15,5.3
14.3,6.3
12.9,6.6
20.5,9.5
26.5,7.6
25.2,5.4
18.5,4.2
15.8,4.9
18.1,5.5
21.6,5.8
20.8,5.8
21,6.4
20,7.3
19.5,6.1
17,5.1
15.3,4.4
19,5.2
27.5,7.8
37.2,9.6
38.4,8.4
31.3,7
25.7,6.8
25.5,6.4
19,7.8
9.4,11.6
9.8,9.1
10.7,7.4
9,4.9
7.9,6.6
7.3,5.2
10.7,6.4
13.6,6.4
14.4,8
23.3,9.5
16.9,8.1
16.9,7.2
15,5.7
10.7,5.5
10.9,6.6
21,11.1
32.1,9.5
21.3,7.6
23.6,8.1
21.8,7.6
12.8,6.4
49,12.3
73,8.3
70.7,6.1
72.1,4.5
59.3,5.6
57.2,6.1
49.1,4.9
39.9,5.9
46.6,6
47.9,6.5
44.6,6.9
34.8,5.8
26.7,5.4
25.3,6.5
40.4,10
47,5
34.6,6.5
25.8,5
31.3,7.3
37.6,7
38.1,7.2
54,6.3
55,6.2
39.1,8.2
29.9,7.3
25.1,5.7
44.3,6.2
53.8,7.6
47.1,4.9
43.6,5.6
34.5,3.6
31.2,5.7
36,8.6
32.5,6.6
36.6,5.3
39.6,7
47.6,8.3
40,7.3
30.1,7.9
26.5,6.2
28.9,5.3
23.1,5.5
27.3,6
32.8,7.5
44.8,6.1
57.8,6.9
58.9,6
70,4.6
71.1,6.5
66.7,5.1
65.5,5.3
54.9,4.3
48.5,7.2
42.1,5.9
34,4.5
44,6.5
43.8,7.6
35,6.4
35.2,5.5
28.1,5.9
31.5,8.3
32.7,6.2
30.5,6.5
33.6,8.6
42.8,6.6
47.8,5.8
